,epoch_10,epoch_20,epoch_30,epoch_40,epoch_50,epoch_10_attack,epoch_20_attack,epoch_30_attack,epoch_40_attack,epoch_50_attack
0,0.3451,0.3911,0.457,0.5101,0.571,0.0904,0.0914,0.0942,0.0971,0.0905
1,0.3864,0.3835,0.4389,0.4923,0.5717,0.0793,0.0742,0.0831,0.0702,0.0836
2,0.3576,0.4198,0.4796,0.4858,0.5805,0.0561,0.0894,0.0845,0.0881,0.0817
3,0.3884,0.3879,0.4455,0.4922,0.5699,0.0611,0.0683,0.0986,0.0876,0.0865
4,0.3643,0.413,0.4393,0.5022,0.5665,0.0901,0.0591,0.0946,0.0921,0.0828
5,0.377,0.45,0.4527,0.4948,0.5793,0.076,0.0913,0.0593,0.0909,0.0894
6,0.4003,0.421,0.465,0.4996,0.5756,0.0643,0.073,0.0766,0.0848,0.0881
7,0.3942,0.3932,0.4501,0.4932,0.5725,0.1074,0.0942,0.0757,0.0905,0.0882
8,0.39,0.41,0.4472,0.4822,0.5775,0.0798,0.0864,0.0919,0.1012,0.0906
9,0.4025,0.44,0.4737,0.4949,0.5816,0.1031,0.0766,0.0809,0.0844,0.0858
10,0.4151,0.3956,0.4354,0.5167,0.5775,0.0991,0.0651,0.1073,0.0781,0.0894
11,0.3769,0.3757,0.4605,0.4939,0.5684,0.0603,0.0873,0.0865,0.0991,0.0956
12,0.4052,0.4022,0.42,0.4991,0.5771,0.0593,0.0658,0.102,0.0853,0.0862
13,0.3963,0.4151,0.4377,0.474,0.5651,0.091,0.0573,0.0832,0.0861,0.0856
14,0.3948,0.4164,0.3787,0.5033,0.5774,0.0862,0.0556,0.0896,0.1021,0.0845
15,0.4034,0.4248,0.4591,0.4857,0.5759,0.0716,0.0786,0.0618,0.0842,0.0785
16,0.3815,0.3876,0.4496,0.5021,0.5705,0.0845,0.0885,0.0799,0.0862,0.0849
17,0.3977,0.4204,0.4335,0.5099,0.5738,0.0738,0.0767,0.0875,0.0844,0.0892
18,0.4223,0.4236,0.4521,0.4968,0.5721,0.0745,0.0695,0.0795,0.0813,0.0835
19,0.3954,0.4411,0.4386,0.4781,0.5726,0.0726,0.0958,0.0877,0.0744,0.0849
20,0.3897,0.4069,0.4252,0.4753,0.5682,0.0702,0.0563,0.0868,0.101,0.0886
21,0.3937,0.4177,0.4782,0.4794,0.5775,0.0669,0.0855,0.0825,0.0813,0.0792
22,0.363,0.4254,0.4675,0.5024,0.5734,0.0787,0.1061,0.0976,0.0982,0.0871
23,0.3904,0.4304,0.4667,0.4767,0.5814,0.0692,0.0902,0.0868,0.0921,0.0828
24,0.3912,0.4132,0.4673,0.5029,0.5651,0.0531,0.0744,0.0977,0.0947,0.0834
25,0.4053,0.4395,0.4738,0.4935,0.5737,0.0811,0.1013,0.1012,0.0909,0.0829
26,0.3826,0.4249,0.4812,0.4838,0.5757,0.0549,0.0921,0.0663,0.0845,0.0832
27,0.3682,0.4133,0.4328,0.4932,0.5771,0.0811,0.073,0.0933,0.089,0.0839
28,0.3897,0.4068,0.4728,0.502,0.5731,0.0839,0.0744,0.0869,0.0945,0.0877
29,0.3742,0.4088,0.4294,0.5051,0.5735,0.0829,0.0847,0.0802,0.0865,0.0847
30,0.4063,0.4046,0.47,0.4723,0.5716,0.0809,0.0689,0.0807,0.0899,0.0814
31,0.4142,0.4258,0.4328,0.4845,0.5808,0.1007,0.0655,0.0942,0.0903,0.0905
32,0.382,0.424,0.4303,0.4827,0.5763,0.0638,0.0824,0.0881,0.0975,0.0874
33,0.4189,0.4453,0.4228,0.5017,0.5624,0.0667,0.0974,0.094,0.0708,0.0997
34,0.3463,0.4055,0.4447,0.4905,0.5762,0.0935,0.0709,0.0976,0.0944,0.0899
35,0.4036,0.4226,0.4573,0.5069,0.5679,0.0996,0.0905,0.0923,0.1067,0.0854
36,0.3786,0.4445,0.4449,0.4991,0.5702,0.0727,0.0997,0.0937,0.0902,0.0871
37,0.4038,0.43,0.4388,0.5043,0.5816,0.0867,0.0886,0.0958,0.1,0.0783
38,0.3903,0.4207,0.4628,0.4865,0.5841,0.0716,0.0798,0.0961,0.0828,0.0942
39,0.4196,0.3278,0.4322,0.5102,0.5743,0.0766,0.0818,0.0944,0.0978,0.089
40,0.3721,0.4318,0.4484,0.491,0.5722,0.077,0.0645,0.0666,0.0861,0.0904
41,0.3858,0.4271,0.4045,0.5042,0.5761,0.0851,0.0564,0.059,0.0966,0.0871
42,0.3784,0.4171,0.4598,0.4945,0.5685,0.0718,0.1088,0.0992,0.0796,0.0862
43,0.3938,0.4455,0.4709,0.5052,0.5722,0.0927,0.0959,0.0871,0.0708,0.0892
44,0.3755,0.4199,0.4578,0.5014,0.575,0.0769,0.0942,0.1031,0.0937,0.0981
45,0.4115,0.4454,0.4674,0.4921,0.5701,0.1027,0.0778,0.0794,0.0819,0.0798
46,0.3912,0.3731,0.4625,0.5056,0.5752,0.0772,0.0773,0.0769,0.0788,0.085
47,0.3905,0.4484,0.4347,0.5068,0.5742,0.0867,0.0794,0.0828,0.0814,0.0866
48,0.3697,0.4321,0.4624,0.4935,0.57,0.0828,0.0917,0.0859,0.0841,0.083
49,0.3901,0.4122,0.4524,0.5192,0.5781,0.0646,0.0828,0.0888,0.0946,0.0852
