,epoch_10,epoch_20,epoch_30,epoch_40,epoch_50,epoch_10_attack,epoch_20_attack,epoch_30_attack,epoch_40_attack,epoch_50_attack
0,0.6398,0.6626,0.6784,0.6875,0.6845,0.2986,0.2778,0.2863,0.2744,0.2672
1,0.492,0.6364,0.6461,0.6689,0.6759,0.2544,0.2952,0.2872,0.3085,0.2984
2,0.3753,0.4199,0.4592,0.4029,0.4489,0.1709,0.1586,0.1432,0.1366,0.1584
3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
5,0.6076,0.6374,0.6544,0.6553,0.6487,0.2738,0.2967,0.2622,0.2747,0.241
6,0.3361,0.4406,0.4412,0.4394,0.4388,0.17,0.1766,0.1375,0.1625,0.1942
7,0.6677,0.68,0.6871,0.6899,0.6968,0.299,0.2618,0.2852,0.2701,0.2802
8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
9,0.3458,0.4511,0.4907,0.5244,0.5456,0.1814,0.2161,0.2239,0.2416,0.2349
10,0.2829,0.3814,0.4588,0.551,0.5928,0.1996,0.1902,0.1811,0.2184,0.2238
11,0.5707,0.5992,0.5976,0.5811,0.605,0.2999,0.2893,0.2972,0.2457,0.2791
12,0.3816,0.4176,0.4426,0.3974,0.4165,0.1689,0.1661,0.1389,0.1412,0.1626
13,0.1849,0.1995,0.23,0.2679,0.3578,0.1651,0.1718,0.1094,0.135,0.1546
14,0.3516,0.4385,0.4473,0.3994,0.4361,0.1796,0.1854,0.1572,0.1612,0.1793
15,0.2593,0.3632,0.4431,0.4451,0.4661,0.1792,0.1905,0.1729,0.191,0.199
16,0.5066,0.5822,0.5985,0.5715,0.6139,0.2377,0.2595,0.2657,0.195,0.2386
17,0.3832,0.4111,0.441,0.4223,0.4416,0.1662,0.1716,0.1247,0.1509,0.1613
18,0.2633,0.3604,0.4163,0.4555,0.5083,0.1662,0.1849,0.2003,0.1847,0.1975
19,0.204,0.2166,0.2738,0.3014,0.3347,0.1375,0.1747,0.1656,0.1537,0.1678
20,0.5346,0.6288,0.649,0.6536,0.6711,0.2451,0.2244,0.226,0.2521,0.2228
21,0.5192,0.6334,0.6466,0.6664,0.6646,0.2455,0.2453,0.2525,0.2512,0.2345
22,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
23,0.5515,0.5805,0.5778,0.5625,0.5998,0.2925,0.2675,0.2446,0.1934,0.2468
24,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
25,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
26,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
27,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
28,0.3144,0.509,0.5478,0.5758,0.5934,0.1649,0.2183,0.2023,0.2068,0.1871
29,0.1999,0.1915,0.199,0.177,0.203,0.1398,0.1119,0.1219,0.1054,0.152
30,0.4771,0.5404,0.5451,0.5503,0.565,0.2567,0.2486,0.2485,0.2247,0.2588
31,0.3182,0.3484,0.3459,0.3624,0.3412,0.151,0.1751,0.166,0.1616,0.1595
32,0.5737,0.608,0.5966,0.6064,0.6251,0.3076,0.2895,0.272,0.2449,0.2604
33,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
34,0.1,0.1,0.1,0.1003,0.1,0.1,0.1,0.1,0.1008,0.1
35,0.2173,0.2119,0.2127,0.216,0.2193,0.158,0.1632,0.1676,0.1608,0.1683
36,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
37,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
38,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
39,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
40,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
41,0.5213,0.6007,0.6216,0.627,0.6497,0.2253,0.2685,0.2512,0.2254,0.2627
42,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
43,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
44,0.5713,0.6135,0.618,0.6097,0.6189,0.3114,0.3175,0.3211,0.3019,0.3152
45,0.61,0.6635,0.6814,0.6837,0.6919,0.3053,0.3037,0.3165,0.3248,0.2814
46,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
47,0.3753,0.4336,0.4409,0.423,0.4345,0.1534,0.1752,0.1575,0.1489,0.16
48,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
49,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
