,epoch_10,epoch_20,epoch_30,epoch_40,epoch_50,epoch_10_attack,epoch_20_attack,epoch_30_attack,epoch_40_attack,epoch_50_attack
0,0.1994,0.1971,0.2017,0.1944,0.2021,0.1254,0.1183,0.1264,0.1308,0.1392
1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2,0.6197,0.6445,0.6542,0.6577,0.6587,0.2851,0.2821,0.2451,0.2745,0.2869
3,0.5196,0.5652,0.5662,0.5542,0.5746,0.2261,0.2446,0.2451,0.2121,0.2473
4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
6,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
7,0.3328,0.3823,0.3765,0.3864,0.3823,0.1709,0.1701,0.1611,0.1657,0.164
8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
9,0.2,0.1911,0.1988,0.1751,0.2015,0.1418,0.1111,0.1234,0.1059,0.1462
10,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
11,0.5832,0.6186,0.6145,0.6171,0.6274,0.2746,0.2798,0.259,0.2475,0.2673
12,0.5679,0.6014,0.6128,0.605,0.6246,0.2646,0.2669,0.2671,0.2532,0.2704
13,0.618,0.6555,0.6556,0.6533,0.6587,0.2861,0.2826,0.2405,0.283,0.2727
14,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
15,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
16,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
17,0.1776,0.2381,0.2361,0.2277,0.2402,0.1166,0.1617,0.1633,0.1604,0.1682
18,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
19,0.5793,0.6058,0.6181,0.6029,0.6147,0.2532,0.2693,0.2614,0.2397,0.2668
20,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
21,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
22,0.4436,0.5373,0.5513,0.5476,0.5637,0.2343,0.2677,0.2553,0.2536,0.2485
23,0.5626,0.5845,0.597,0.588,0.6007,0.2556,0.2701,0.256,0.2383,0.2503
24,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
25,0.1695,0.2164,0.2194,0.2017,0.2239,0.1399,0.1649,0.1588,0.1597,0.1339
26,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
27,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
28,0.3055,0.3373,0.3605,0.3747,0.3768,0.1643,0.1527,0.1631,0.1629,0.1664
29,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
30,0.3889,0.4181,0.4297,0.4014,0.4712,0.1643,0.1865,0.13,0.1579,0.1868
31,0.5171,0.5845,0.5817,0.5821,0.5943,0.2432,0.268,0.2738,0.2241,0.2504
32,0.3538,0.4233,0.4506,0.4527,0.4294,0.1702,0.1907,0.188,0.1829,0.1779
33,0.5767,0.5952,0.6019,0.5877,0.5992,0.2625,0.2711,0.2545,0.2369,0.2448
34,0.3981,0.4137,0.4641,0.4432,0.4566,0.1965,0.185,0.1655,0.1687,0.1757
35,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
36,0.1,0.3948,0.4404,0.4649,0.4683,0.1,0.188,0.1921,0.1602,0.1528
37,0.5732,0.6201,0.6294,0.6228,0.63,0.3007,0.2592,0.2695,0.2399,0.2702
38,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
39,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
40,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
41,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
42,0.1007,0.1,0.1,0.1,0.1,0.1108,0.1,0.1037,0.102,0.1
43,0.6588,0.6817,0.6834,0.6852,0.6858,0.2818,0.2864,0.2559,0.2793,0.2599
44,0.2005,0.1964,0.1996,0.195,0.202,0.1253,0.1182,0.1269,0.1307,0.1398
45,0.4489,0.5333,0.5726,0.5753,0.6104,0.2065,0.2394,0.2535,0.2118,0.2647
46,0.5767,0.5881,0.6072,0.5934,0.6016,0.2547,0.2608,0.2376,0.2343,0.2528
47,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
48,0.3699,0.3969,0.4288,0.3939,0.4254,0.153,0.1533,0.1247,0.1377,0.1632
49,0.5586,0.6213,0.625,0.6236,0.6449,0.2632,0.273,0.2693,0.258,0.2702
