,epoch_10,epoch_20,epoch_30,epoch_40,epoch_50,epoch_10_attack,epoch_20_attack,epoch_30_attack,epoch_40_attack,epoch_50_attack
0,0.5292,0.5702,0.587,0.5931,0.6104,0.2479,0.2561,0.2315,0.2561,0.252
1,0.5271,0.5714,0.5863,0.5967,0.6182,0.2328,0.2313,0.2147,0.2282,0.2311
2,0.5366,0.5752,0.5913,0.6065,0.6212,0.2338,0.2387,0.2197,0.2358,0.2382
3,0.5248,0.5724,0.594,0.599,0.6153,0.2548,0.2594,0.241,0.2583,0.2511
4,0.5419,0.5809,0.5969,0.5994,0.621,0.2592,0.2524,0.2401,0.2523,0.2565
5,0.5317,0.576,0.5855,0.5909,0.6129,0.2454,0.2393,0.2188,0.2346,0.2476
6,0.5289,0.571,0.5885,0.5992,0.617,0.2572,0.2517,0.2501,0.2558,0.2625
7,0.5164,0.5589,0.5749,0.5833,0.6083,0.2365,0.2456,0.2315,0.2442,0.2403
8,0.5259,0.5732,0.5937,0.5975,0.6167,0.2477,0.2481,0.2395,0.2541,0.2534
9,0.5264,0.5752,0.5906,0.5961,0.6126,0.2401,0.2438,0.2272,0.2355,0.241
10,0.5198,0.5735,0.5859,0.5994,0.6138,0.2627,0.2597,0.2384,0.2404,0.2381
11,0.524,0.5728,0.589,0.5979,0.6166,0.254,0.249,0.2383,0.2466,0.2544
12,0.5189,0.5644,0.5857,0.599,0.6211,0.2536,0.2687,0.2534,0.2698,0.2625
13,0.5139,0.5585,0.5775,0.5926,0.6118,0.2299,0.2513,0.2286,0.2392,0.2434
14,0.5204,0.5693,0.5856,0.5952,0.6112,0.2422,0.2501,0.2384,0.2548,0.2589
15,0.527,0.568,0.5906,0.5978,0.6177,0.2493,0.2568,0.2452,0.2585,0.2597
16,0.5293,0.5715,0.5883,0.6001,0.6206,0.2391,0.2371,0.2183,0.2283,0.2298
17,0.5171,0.5627,0.5788,0.5869,0.6052,0.2413,0.245,0.2236,0.2282,0.2325
18,0.533,0.5726,0.591,0.5892,0.6172,0.2525,0.241,0.2364,0.2461,0.2597
19,0.5214,0.5625,0.5768,0.5875,0.6002,0.2579,0.2596,0.2379,0.2623,0.2606
20,0.5387,0.5873,0.597,0.606,0.6194,0.2569,0.2581,0.2412,0.2522,0.2532
21,0.5289,0.5729,0.5869,0.5934,0.6158,0.2378,0.2361,0.2318,0.2317,0.2438
22,0.5213,0.567,0.5844,0.5895,0.6133,0.2416,0.2539,0.2428,0.2536,0.2528
23,0.5248,0.5664,0.5798,0.596,0.6128,0.2614,0.2603,0.2395,0.249,0.2524
24,0.5314,0.5776,0.5935,0.6036,0.6194,0.2452,0.2455,0.2307,0.2445,0.2359
25,0.5204,0.5695,0.5839,0.5869,0.6129,0.245,0.2533,0.2488,0.2539,0.2609
26,0.5312,0.5718,0.5877,0.5946,0.6157,0.2259,0.2357,0.2308,0.2416,0.2404
27,0.5366,0.5792,0.5981,0.6008,0.6227,0.2573,0.2652,0.2523,0.2495,0.257
28,0.5115,0.5567,0.5792,0.5929,0.6168,0.2647,0.2485,0.2366,0.2424,0.2464
29,0.5224,0.5691,0.5872,0.5949,0.6167,0.2463,0.2489,0.2337,0.2524,0.246
30,0.5187,0.5595,0.5755,0.5922,0.6019,0.2381,0.2343,0.2204,0.2374,0.2349
31,0.5246,0.5609,0.5826,0.5996,0.6115,0.2365,0.2461,0.2409,0.2544,0.2537
32,0.5254,0.5656,0.5794,0.5901,0.615,0.2538,0.2447,0.2312,0.2513,0.2524
33,0.5144,0.5639,0.5828,0.5957,0.6145,0.2332,0.2405,0.2208,0.244,0.2439
34,0.5237,0.5735,0.5888,0.5936,0.6144,0.2487,0.2479,0.2406,0.2555,0.2544
35,0.539,0.5772,0.5933,0.5958,0.6159,0.2434,0.2463,0.2379,0.2423,0.2465
36,0.521,0.5687,0.5874,0.6043,0.6236,0.2367,0.2509,0.2552,0.2655,0.2618
37,0.5116,0.5655,0.5858,0.5922,0.6194,0.2481,0.2468,0.2309,0.2374,0.2403
38,0.5235,0.5699,0.5829,0.5984,0.6102,0.2427,0.2329,0.2215,0.2295,0.2409
39,0.5168,0.5641,0.5879,0.5971,0.6176,0.2552,0.2587,0.2421,0.2585,0.2572
40,0.52,0.5707,0.5806,0.5957,0.6234,0.2548,0.2589,0.2397,0.2467,0.2528
41,0.5305,0.5629,0.5837,0.5901,0.6154,0.2439,0.2453,0.2248,0.2342,0.2389
42,0.5364,0.5736,0.5907,0.5989,0.6241,0.2458,0.26,0.2612,0.2637,0.2671
43,0.5339,0.5711,0.591,0.6053,0.6271,0.2427,0.2497,0.2439,0.2647,0.2694
44,0.5273,0.5695,0.584,0.6027,0.6203,0.2366,0.2404,0.2379,0.2587,0.2607
45,0.525,0.5791,0.5974,0.606,0.626,0.219,0.2448,0.2342,0.2497,0.2441
46,0.5068,0.5642,0.5766,0.5945,0.6149,0.2531,0.2424,0.2277,0.2504,0.2575
47,0.5023,0.563,0.5804,0.5863,0.6047,0.26,0.2468,0.2157,0.2385,0.2383
48,0.5354,0.5756,0.5915,0.5982,0.6164,0.2482,0.2646,0.2504,0.2483,0.2542
49,0.5214,0.5685,0.5826,0.5931,0.6092,0.2224,0.2311,0.2046,0.2174,0.2319
