,epoch_10,epoch_20,epoch_30,epoch_40,epoch_50,epoch_10_attack,epoch_20_attack,epoch_30_attack,epoch_40_attack,epoch_50_attack
0,0.8764,0.9099,0.9286,0.9419,0.9462,0.7008,0.6827,0.5566,0.4333,0.4054
1,0.8576,0.9241,0.9486,0.953,0.958,0.8435,0.7174,0.5633,0.509,0.5241
2,0.3904,0.6458,0.8358,0.8884,0.9079,0.2523,0.1732,0.0461,0.0268,0.0217
3,0.1135,0.8291,0.9274,0.9397,0.944,0.1135,0.5926,0.1135,0.1135,0.1135
4,0.9809,0.981,0.9778,0.9821,0.9799,0.3728,0.5013,0.3527,0.32,0.2506
5,0.2061,0.3559,0.4257,0.7127,0.8338,0.098,0.0981,0.206,0.1576,0.1135
6,0.9781,0.9811,0.981,0.9838,0.9846,0.4847,0.553,0.6013,0.6396,0.4933
7,0.3618,0.5019,0.6479,0.7185,0.7626,0.2155,0.3446,0.4774,0.5744,0.6104
8,0.9668,0.9751,0.9775,0.9813,0.9794,0.7608,0.7321,0.7994,0.7888,0.8216
9,0.8758,0.9179,0.9191,0.9256,0.9259,0.7785,0.6833,0.5809,0.5844,0.606
10,0.9013,0.9212,0.9275,0.9212,0.9309,0.0165,0.1135,0.1135,0.1135,0.1135
11,0.9822,0.9836,0.9803,0.9838,0.9816,0.3124,0.1711,0.1555,0.2025,0.1749
12,0.1135,0.8627,0.9339,0.9368,0.9329,0.1135,0.101,0.3397,0.1789,0.1675
13,0.9181,0.9338,0.9521,0.9419,0.9363,0.1135,0.1135,0.1135,0.1135,0.1135
14,0.1135,0.1135,0.1135,0.1135,0.1135,0.1117,0.1124,0.1128,0.1133,0.1135
15,0.1135,0.1135,0.1135,0.1135,0.1135,0.1135,0.1135,0.1135,0.1135,0.1135
16,0.817,0.9231,0.9492,0.9587,0.9639,0.7691,0.6804,0.569,0.335,0.1773
17,0.9343,0.9503,0.9538,0.9491,0.9526,0.0977,0.1351,0.1135,0.1651,0.1143
18,0.8968,0.9366,0.9477,0.9526,0.9557,0.6491,0.5617,0.5831,0.5083,0.4656
19,0.9296,0.9467,0.9559,0.9525,0.9488,0.1135,0.1135,0.1135,0.1135,0.1135
20,0.7319,0.8273,0.8685,0.8776,0.919,0.581,0.8001,0.8359,0.8246,0.8565
21,0.1135,0.1135,0.1135,0.1135,0.1135,0.1135,0.1135,0.1135,0.1135,0.1135
22,0.1028,0.1135,0.1135,0.0892,0.1135,0.1028,0.1135,0.1135,0.0892,0.1135
23,0.7025,0.7848,0.8296,0.8582,0.8776,0.7036,0.7947,0.8387,0.8625,0.8783
24,0.1135,0.8273,0.9223,0.9372,0.9418,0.1135,0.1322,0.1135,0.1135,0.1135
25,0.8969,0.9422,0.9663,0.9743,0.9759,0.6765,0.5219,0.4779,0.4032,0.2975
26,0.1137,0.4903,0.7038,0.8247,0.8729,0.1135,0.5179,0.7072,0.7418,0.7601
27,0.741,0.893,0.9178,0.9292,0.9333,0.2835,0.2126,0.193,0.2156,0.1619
28,0.8776,0.9285,0.9445,0.9063,0.941,0.1166,0.1145,0.1136,0.1135,0.1137
29,0.8791,0.9287,0.9464,0.9552,0.9617,0.6883,0.7934,0.835,0.901,0.8873
30,0.9291,0.9464,0.9481,0.9472,0.9448,0.1135,0.1237,0.1475,0.1136,0.1149
31,0.9363,0.9596,0.9667,0.97,0.9704,0.6264,0.5985,0.5332,0.5564,0.5174
32,0.9206,0.9514,0.957,0.9599,0.9607,0.6826,0.6022,0.5796,0.5989,0.4462
33,0.2686,0.4786,0.7604,0.8345,0.8833,0.1009,0.231,0.2786,0.4317,0.6866
34,0.9796,0.9815,0.9804,0.9842,0.9827,0.5783,0.6491,0.6979,0.7386,0.685
35,0.9363,0.9536,0.9609,0.9638,0.9677,0.7068,0.6368,0.6289,0.6839,0.6276
36,0.8226,0.8936,0.9442,0.9448,0.943,0.1829,0.2906,0.1301,0.1135,0.1137
37,0.1197,0.3607,0.5819,0.7394,0.8062,0.1135,0.3535,0.6075,0.7426,0.7988
38,0.125,0.9084,0.9304,0.9593,0.9636,0.1195,0.8426,0.9185,0.937,0.9398
39,0.8918,0.9085,0.9183,0.9184,0.9215,0.7216,0.5228,0.3164,0.5404,0.6077
40,0.098,0.1009,0.0958,0.098,0.1135,0.098,0.1009,0.0958,0.098,0.1135
41,0.9791,0.9827,0.986,0.9841,0.9815,0.72,0.4831,0.4326,0.3,0.2335
42,0.883,0.9378,0.9529,0.958,0.9616,0.8641,0.8869,0.8574,0.8039,0.7303
43,0.9717,0.9735,0.9723,0.9746,0.9736,0.7236,0.666,0.722,0.761,0.6959
44,0.0892,0.098,0.101,0.1032,0.0982,0.0892,0.098,0.101,0.1032,0.0982
45,0.1135,0.1135,0.1135,0.1135,0.1135,0.1135,0.1135,0.1135,0.1135,0.1135
46,0.9567,0.9666,0.9691,0.9719,0.9738,0.9457,0.9519,0.9536,0.9605,0.9536
47,0.1135,0.1135,0.1135,0.1135,0.6458,0.1135,0.1135,0.1135,0.1135,0.1083
48,0.9769,0.9796,0.9691,0.9798,0.9815,0.9689,0.9678,0.9494,0.9509,0.9694
49,0.9496,0.9637,0.9703,0.9737,0.9752,0.7781,0.6998,0.7273,0.7105,0.6931
