,epoch_10,epoch_20,epoch_30,epoch_40,epoch_50,epoch_10_attack,epoch_20_attack,epoch_30_attack,epoch_40_attack,epoch_50_attack
0,0.2663,0.5015,0.5551,0.5926,0.6347,0.1135,0.1135,0.1135,0.1135,0.1135
1,0.1135,0.1135,0.1135,0.1135,0.1135,0.1135,0.1135,0.1135,0.1135,0.1135
2,0.9625,0.9724,0.9778,0.9775,0.9798,0.82,0.7452,0.717,0.7185,0.7451
3,0.2767,0.4033,0.4428,0.5284,0.5738,0.1135,0.1135,0.1135,0.1135,0.1135
4,0.9819,0.9826,0.982,0.9842,0.9843,0.9295,0.903,0.9072,0.9321,0.9185
5,0.9646,0.9754,0.9783,0.9804,0.9814,0.935,0.938,0.9562,0.9434,0.9382
6,0.3613,0.4638,0.516,0.5944,0.6534,0.0981,0.1189,0.2705,0.4809,0.6313
7,0.1135,0.4358,0.6601,0.7774,0.842,0.1135,0.4424,0.6482,0.711,0.7415
8,0.9752,0.9817,0.9802,0.9831,0.9797,0.7176,0.5756,0.4594,0.5248,0.498
9,0.978,0.9791,0.9782,0.9779,0.9813,0.9248,0.9511,0.9261,0.8881,0.9076
10,0.968,0.9828,0.9757,0.9855,0.9819,0.93,0.9562,0.9358,0.9566,0.9533
11,0.1135,0.1135,0.1135,0.1135,0.1135,0.1135,0.1135,0.1135,0.1135,0.1135
12,0.9083,0.9367,0.9387,0.9503,0.9432,0.1135,0.1136,0.1136,0.1137,0.1135
13,0.9012,0.9201,0.9341,0.943,0.9468,0.6749,0.4797,0.1349,0.1239,0.1706
14,0.6458,0.6877,0.7072,0.7344,0.75,0.4779,0.5685,0.5779,0.6466,0.6901
15,0.3219,0.4822,0.6862,0.7931,0.8443,0.315,0.5133,0.7026,0.7791,0.8287
16,0.9511,0.9583,0.9622,0.9619,0.9578,0.1058,0.0519,0.065,0.0411,0.0965
17,0.1135,0.1135,0.1135,0.1135,0.1135,0.1135,0.1135,0.1135,0.1135,0.1135
18,0.7183,0.8333,0.914,0.938,0.9417,0.2538,0.322,0.4494,0.4328,0.4395
19,0.1135,0.1135,0.1135,0.1135,0.1135,0.1135,0.1135,0.1135,0.1135,0.1135
20,0.6044,0.6516,0.789,0.8691,0.9174,0.307,0.1849,0.2231,0.3642,0.1673
21,0.5375,0.6799,0.741,0.7717,0.8004,0.2592,0.3953,0.4734,0.5369,0.5615
22,0.9668,0.9765,0.9797,0.9814,0.9833,0.9422,0.9434,0.9473,0.9589,0.9432
23,0.9724,0.9825,0.9842,0.9845,0.9834,0.6111,0.5608,0.5816,0.653,0.6065
24,0.1135,0.1135,0.1135,0.1135,0.1135,0.1135,0.1135,0.1135,0.1135,0.1135
25,0.9665,0.974,0.9752,0.9712,0.9692,0.6825,0.7431,0.846,0.9106,0.641
26,0.9763,0.9802,0.9808,0.9797,0.9819,0.9106,0.9314,0.8617,0.8338,0.8488
27,0.0974,0.1135,0.101,0.1135,0.1135,0.0974,0.1135,0.101,0.1135,0.1135
28,0.9769,0.9798,0.9745,0.9814,0.9794,0.876,0.8416,0.7654,0.7042,0.6984
29,0.8435,0.8949,0.9221,0.9397,0.9486,0.7119,0.6385,0.6199,0.5783,0.537
30,0.1135,0.1009,0.1032,0.1135,0.1009,0.1135,0.1009,0.1032,0.1135,0.1009
31,0.9739,0.9752,0.976,0.9789,0.9817,0.9478,0.8738,0.8318,0.8569,0.7718
32,0.1135,0.1135,0.1135,0.1135,0.1135,0.1135,0.1135,0.1135,0.1135,0.1135
33,0.5904,0.7441,0.8022,0.8257,0.841,0.1135,0.1135,0.1135,0.1135,0.1135
34,0.4159,0.6289,0.7702,0.8294,0.8652,0.1101,0.612,0.4184,0.3195,0.2288
35,0.1135,0.1135,0.1135,0.1135,0.1135,0.1135,0.1135,0.1135,0.1135,0.1135
36,0.6815,0.7655,0.8178,0.8422,0.8556,0.6772,0.7109,0.7225,0.6732,0.6033
37,0.9474,0.9669,0.9729,0.9744,0.9775,0.9203,0.8991,0.8836,0.8994,0.7054
38,0.3084,0.5919,0.9475,0.9556,0.9563,0.098,0.5001,0.1135,0.1135,0.1135
39,0.8607,0.9009,0.9109,0.9137,0.9134,0.7845,0.6605,0.3941,0.4156,0.4004
40,0.9646,0.9725,0.9771,0.9794,0.9807,0.9245,0.8969,0.9239,0.9117,0.9135
41,0.9723,0.9778,0.9759,0.9763,0.9776,0.7334,0.668,0.776,0.5806,0.4791
42,0.1135,0.1135,0.1135,0.1135,0.1135,0.1036,0.1033,0.1032,0.1031,0.103
43,0.5848,0.7316,0.764,0.7946,0.8183,0.4414,0.6579,0.7291,0.7868,0.8154
44,0.1135,0.1135,0.1135,0.1135,0.1135,0.1135,0.1135,0.1135,0.1135,0.1135
45,0.2816,0.3093,0.3358,0.4022,0.457,0.16,0.1584,0.1519,0.1866,0.2157
46,0.949,0.9491,0.9545,0.9625,0.9629,0.1135,0.1135,0.1137,0.1147,0.115
47,0.9518,0.957,0.9571,0.9536,0.958,0.5937,0.3812,0.5894,0.4642,0.5416
48,0.1135,0.1135,0.1135,0.1135,0.3412,0.1135,0.1135,0.1135,0.1135,0.1692
49,0.7898,0.9328,0.9404,0.9413,0.9439,0.1853,0.1135,0.1136,0.1135,0.1135
