,epoch_10,epoch_20,epoch_30,epoch_40,epoch_50,epoch_10_attack,epoch_20_attack,epoch_30_attack,epoch_40_attack,epoch_50_attack
0,0.6233,0.7722,0.8559,0.9065,0.9225,0.5144,0.748,0.7932,0.5601,0.332
1,0.6214,0.8002,0.8697,0.8979,0.9135,0.4567,0.7832,0.8522,0.852,0.8197
2,0.4681,0.795,0.8685,0.8985,0.913,0.3153,0.776,0.818,0.7762,0.702
3,0.5882,0.8458,0.896,0.9141,0.9229,0.4741,0.7999,0.7075,0.6285,0.5956
4,0.5458,0.7696,0.8645,0.8933,0.9068,0.3128,0.7403,0.8547,0.8531,0.815
5,0.4975,0.7764,0.842,0.8699,0.8966,0.1559,0.6621,0.7963,0.848,0.8757
6,0.6302,0.8312,0.8891,0.9123,0.9248,0.4551,0.8174,0.8494,0.82,0.7924
7,0.6186,0.8111,0.8758,0.9028,0.9173,0.4582,0.8001,0.7978,0.6658,0.5792
8,0.708,0.8676,0.9036,0.9218,0.9305,0.6951,0.1392,0.1143,0.1137,0.1138
9,0.5999,0.7839,0.8561,0.8887,0.9053,0.3387,0.7442,0.8404,0.8642,0.8599
10,0.5943,0.8015,0.8648,0.889,0.9023,0.4437,0.7816,0.8555,0.8771,0.887
11,0.5916,0.8203,0.8823,0.9116,0.9234,0.3138,0.7857,0.8753,0.8893,0.8813
12,0.5349,0.7612,0.8328,0.8817,0.9058,0.3105,0.6783,0.803,0.853,0.8603
13,0.5447,0.7835,0.855,0.8842,0.9047,0.333,0.7598,0.8477,0.8766,0.8783
14,0.4153,0.6684,0.8285,0.8749,0.899,0.1359,0.398,0.7046,0.8026,0.8429
15,0.6143,0.847,0.8904,0.9169,0.9292,0.4538,0.715,0.5302,0.4381,0.4259
16,0.6066,0.7832,0.8687,0.8975,0.9112,0.3911,0.7202,0.8429,0.8623,0.8885
17,0.5745,0.7965,0.8674,0.8983,0.9153,0.3522,0.7795,0.8133,0.7849,0.731
18,0.6403,0.762,0.8424,0.8812,0.8971,0.4426,0.741,0.8233,0.8486,0.8328
19,0.5048,0.7752,0.8652,0.8915,0.908,0.3198,0.7203,0.8479,0.826,0.6584
20,0.6201,0.8088,0.8862,0.9137,0.9224,0.4292,0.7851,0.6706,0.4831,0.417
21,0.5667,0.7985,0.8656,0.8926,0.9073,0.3026,0.7267,0.8427,0.8647,0.8584
22,0.3474,0.7022,0.8497,0.8915,0.9048,0.0992,0.6124,0.5513,0.416,0.3681
23,0.6106,0.814,0.873,0.8977,0.9106,0.4956,0.7649,0.7562,0.7017,0.658
24,0.6184,0.8308,0.886,0.9077,0.9182,0.4743,0.7812,0.5607,0.442,0.4095
25,0.461,0.7836,0.8552,0.8907,0.9154,0.2299,0.6621,0.7756,0.7515,0.5782
26,0.3829,0.783,0.8798,0.9,0.9135,0.1179,0.7241,0.6926,0.4767,0.3341
27,0.6315,0.8122,0.8626,0.884,0.9035,0.4726,0.804,0.7545,0.6859,0.5136
28,0.5676,0.7924,0.8678,0.8918,0.9102,0.4186,0.7659,0.8542,0.8738,0.8477
29,0.5842,0.7529,0.843,0.8852,0.9095,0.2763,0.6534,0.7957,0.7065,0.6659
30,0.5028,0.7754,0.8532,0.8907,0.9039,0.2821,0.7449,0.8435,0.8772,0.8952
31,0.557,0.7576,0.845,0.8817,0.9021,0.2271,0.6676,0.8224,0.8728,0.89
32,0.4996,0.6978,0.8337,0.8894,0.907,0.2612,0.6203,0.7353,0.6489,0.5972
33,0.5938,0.7729,0.8435,0.883,0.9057,0.3512,0.7192,0.832,0.8631,0.863
34,0.57,0.7601,0.8388,0.8844,0.9105,0.4335,0.7425,0.8107,0.8251,0.7731
35,0.5231,0.8053,0.8677,0.885,0.9049,0.2375,0.7475,0.8409,0.8698,0.8725
36,0.5016,0.7489,0.8612,0.8966,0.9096,0.2874,0.71,0.8485,0.8653,0.8807
37,0.5453,0.8009,0.8703,0.8964,0.905,0.4381,0.7645,0.7913,0.78,0.7708
38,0.6029,0.8009,0.8591,0.8878,0.9042,0.4653,0.7833,0.8317,0.8169,0.7845
39,0.5111,0.7506,0.8436,0.8797,0.9026,0.222,0.6859,0.8236,0.8404,0.828
40,0.4824,0.7592,0.8537,0.8856,0.9014,0.137,0.7194,0.8216,0.8053,0.7477
41,0.5616,0.8341,0.8845,0.9058,0.914,0.4193,0.8245,0.883,0.895,0.8794
42,0.5132,0.7423,0.8462,0.8902,0.9148,0.3584,0.7061,0.6922,0.5079,0.426
43,0.5517,0.8193,0.8821,0.9075,0.9223,0.4341,0.8072,0.784,0.7526,0.6554
44,0.6047,0.7932,0.8711,0.9064,0.921,0.4432,0.7725,0.8572,0.8462,0.7683
45,0.586,0.8274,0.8835,0.9075,0.9225,0.4632,0.7883,0.7125,0.6297,0.617
46,0.5638,0.7881,0.8662,0.8988,0.9112,0.3502,0.7695,0.831,0.7909,0.7368
47,0.607,0.8047,0.8606,0.8881,0.912,0.4444,0.784,0.8497,0.8654,0.8683
48,0.466,0.7408,0.8399,0.8867,0.9087,0.1091,0.6183,0.7993,0.8718,0.8977
49,0.6583,0.7902,0.8565,0.8915,0.9103,0.5246,0.7648,0.8332,0.8653,0.8329
