,epoch_10,epoch_20,epoch_30,epoch_40,epoch_50,epoch_10_attack,epoch_20_attack,epoch_30_attack,epoch_40_attack,epoch_50_attack
0,0.4758,0.5539,0.5836,0.629,0.7057,0.1391,0.1282,0.1274,0.1267,0.1316
1,0.5013,0.5462,0.596,0.6151,0.7029,0.1497,0.1307,0.1056,0.1236,0.122
2,0.5024,0.5533,0.5725,0.6204,0.7145,0.1221,0.1165,0.1138,0.1381,0.1346
3,0.4918,0.569,0.6124,0.6272,0.7018,0.112,0.1291,0.134,0.134,0.1322
4,0.4784,0.5591,0.5991,0.6318,0.7056,0.1572,0.1391,0.1109,0.1207,0.1299
5,0.4981,0.555,0.6009,0.5806,0.7067,0.1171,0.1228,0.1053,0.1173,0.1229
6,0.4379,0.527,0.5724,0.6193,0.7038,0.1436,0.1263,0.1416,0.1237,0.1255
7,0.5138,0.5527,0.572,0.6331,0.7058,0.1202,0.1104,0.1398,0.1283,0.1351
8,0.5111,0.5687,0.5939,0.6241,0.7082,0.1345,0.1164,0.1211,0.1286,0.1239
9,0.4898,0.5162,0.5866,0.6071,0.7068,0.1169,0.1248,0.1253,0.1161,0.1229
10,0.4778,0.5522,0.5235,0.5983,0.7068,0.1349,0.1084,0.1009,0.1187,0.122
11,0.4775,0.5082,0.5918,0.6131,0.708,0.1262,0.1204,0.1184,0.1173,0.1248
12,0.5126,0.5364,0.5854,0.6227,0.719,0.1315,0.144,0.1133,0.1304,0.1278
13,0.5092,0.5346,0.5847,0.6375,0.7116,0.1202,0.1081,0.1185,0.1354,0.1289
14,0.4687,0.5673,0.5768,0.6089,0.7044,0.1583,0.1177,0.1261,0.1375,0.1364
15,0.5188,0.539,0.5929,0.6131,0.7029,0.1396,0.1165,0.1027,0.1183,0.1204
16,0.498,0.558,0.5772,0.6276,0.7079,0.118,0.1343,0.1362,0.1256,0.1247
17,0.481,0.5818,0.5864,0.6114,0.7029,0.142,0.1333,0.1439,0.1342,0.1354
18,0.4872,0.5645,0.5598,0.6085,0.7051,0.1256,0.1451,0.1297,0.1286,0.127
19,0.4914,0.4753,0.5762,0.6215,0.706,0.0883,0.1209,0.1215,0.1183,0.1203
20,0.5195,0.5287,0.5661,0.6396,0.7014,0.1186,0.114,0.1219,0.1262,0.1231
21,0.5168,0.5706,0.5686,0.628,0.708,0.1573,0.1163,0.121,0.1187,0.1226
22,0.5024,0.5247,0.5509,0.6108,0.7043,0.1105,0.1245,0.1054,0.1272,0.1344
23,0.4963,0.5409,0.56,0.6293,0.7092,0.1218,0.1177,0.1321,0.1213,0.125
24,0.4778,0.5147,0.5741,0.6001,0.7099,0.0996,0.1151,0.1129,0.1206,0.1238
25,0.4822,0.5341,0.5882,0.6165,0.7115,0.1245,0.1289,0.1189,0.1289,0.1278
26,0.4896,0.5372,0.5848,0.6241,0.7051,0.127,0.139,0.1377,0.1304,0.1289
27,0.5254,0.5329,0.5986,0.6305,0.7126,0.1225,0.1271,0.1299,0.1301,0.1195
28,0.5242,0.559,0.5845,0.5989,0.7083,0.12,0.1311,0.0975,0.1315,0.1252
29,0.4898,0.5517,0.615,0.623,0.7104,0.133,0.1252,0.1227,0.1326,0.1276
30,0.4738,0.5534,0.5597,0.6243,0.7088,0.1599,0.1041,0.1419,0.128,0.1293
31,0.5252,0.567,0.5814,0.6197,0.7086,0.1394,0.1256,0.1281,0.1208,0.127
32,0.483,0.5794,0.5774,0.6139,0.7121,0.1362,0.1391,0.135,0.1293,0.1253
33,0.4777,0.5468,0.5697,0.6273,0.7066,0.1101,0.1249,0.1214,0.1287,0.1309
34,0.4722,0.5316,0.5854,0.6413,0.7095,0.1228,0.1291,0.121,0.1305,0.1266
35,0.4945,0.5347,0.5176,0.5926,0.6963,0.1067,0.1176,0.1231,0.1232,0.1314
36,0.4818,0.5515,0.587,0.6149,0.7034,0.1247,0.1171,0.1058,0.1254,0.1265
37,0.4737,0.5483,0.5789,0.6106,0.7077,0.1203,0.1502,0.1293,0.1245,0.1321
38,0.5039,0.5555,0.5976,0.618,0.7094,0.1043,0.1435,0.1231,0.124,0.1265
39,0.4763,0.5823,0.5889,0.6191,0.7083,0.1304,0.1305,0.1036,0.1188,0.1257
40,0.486,0.5332,0.5695,0.5957,0.7097,0.1163,0.13,0.127,0.1251,0.1248
41,0.4714,0.5538,0.576,0.5885,0.702,0.12,0.1189,0.1169,0.1311,0.128
42,0.438,0.5458,0.5856,0.6188,0.7088,0.1272,0.102,0.1038,0.1246,0.1207
43,0.4887,0.5238,0.5831,0.6261,0.7069,0.1468,0.1224,0.109,0.1297,0.124
44,0.4942,0.4468,0.5889,0.5986,0.7152,0.1231,0.1199,0.1107,0.1339,0.1265
45,0.4825,0.5542,0.5829,0.6171,0.7041,0.121,0.1419,0.1218,0.1278,0.1221
46,0.4733,0.5722,0.5828,0.6197,0.7088,0.1181,0.1175,0.1069,0.1242,0.1286
47,0.5131,0.5454,0.5864,0.6089,0.7127,0.1218,0.1235,0.1335,0.1261,0.1221
48,0.4987,0.4895,0.5939,0.61,0.7139,0.1432,0.1328,0.1106,0.1356,0.1336
49,0.4982,0.5565,0.5775,0.6263,0.7092,0.1253,0.1197,0.1199,0.1253,0.1261
