,name,normal_acc,normal_acc_attack,soup_acc,soup_acc_attack
0,"NN_tune_trainable_143c9_00740_740_model::dropout=0,model::init_type=kaiming_uniform,model::nlin=tanh,optim::optimizer=sgd,optim::w_2021-09-24_00-02-20",0.649,0.2618,0.6758,0.2726
1,"NN_tune_trainable_143c9_00736_736_model::dropout=0,model::init_type=uniform,model::nlin=tanh,optim::optimizer=sgd,optim::wd=0.001,_2021-09-23_23-48-02",0.43,0.2247,0.4117,0.2133
2,"NN_tune_trainable_143c9_00172_172_model::dropout=0,model::init_type=kaiming_uniform,model::nlin=relu,optim::optimizer=sgd,optim::w_2021-09-22_18-35-15",0.623,0.2827,0.6611,0.2887
3,"NN_tune_trainable_143c9_00898_898_model::dropout=0,model::init_type=normal,model::nlin=tanh,optim::optimizer=adam,optim::wd=0.01,s_2021-09-24_06-41-04",0.609,0.2539,0.6251,0.2762
4,"NN_tune_trainable_143c9_00261_261_model::dropout=0.5,model::init_type=kaiming_uniform,model::nlin=tanh,optim::optimizer=adam,optim_2021-09-22_22-06-46",0.437,0.1707,0.4236,0.1509
5,"NN_tune_trainable_143c9_01247_1247_model::dropout=0.5,model::init_type=kaiming_normal,model::nlin=gelu,optim::optimizer=adam,optim_2021-09-24_23-45-46",0.483,0.1862,0.4449,0.1977
6,"NN_tune_trainable_143c9_01118_1118_model::dropout=0,model::init_type=kaiming_normal,model::nlin=gelu,optim::optimizer=adam,optim::_2021-09-24_17-48-47",0.686,0.2556,0.7125,0.274
7,"NN_tune_trainable_143c9_00921_921_model::dropout=0.5,model::init_type=uniform,model::nlin=gelu,optim::optimizer=adam,optim::wd=0.0_2021-09-24_07-58-56",0.357,0.1657,0.3401,0.1614
8,"NN_tune_trainable_143c9_00482_482_model::dropout=0,model::init_type=normal,model::nlin=tanh,optim::optimizer=sgd,optim::wd=0.001,s_2021-09-23_09-59-02",0.563,0.2345,0.6018,0.2652
9,"NN_tune_trainable_143c9_00668_668_model::dropout=0,model::init_type=kaiming_uniform,model::nlin=gelu,optim::optimizer=adam,optim::_2021-09-23_20-12-52",0.588,0.252,0.6374,0.2796
10,"NN_tune_trainable_143c9_00453_453_model::dropout=0.5,model::init_type=kaiming_uniform,model::nlin=tanh,optim::optimizer=adam,optim_2021-09-23_08-15-37",0.468,0.2143,0.4545,0.1906
11,"NN_tune_trainable_143c9_00571_571_model::dropout=0.5,model::init_type=normal,model::nlin=gelu,optim::optimizer=sgd,optim::wd=0.01,_2021-09-23_14-43-50",0.1,0.1,0.1,0.1
12,"NN_tune_trainable_143c9_00493_493_model::dropout=0.5,model::init_type=kaiming_uniform,model::nlin=relu,optim::optimizer=sgd,optim:_2021-09-23_10-20-43",0.441,0.1734,0.4316,0.1825
13,"NN_tune_trainable_143c9_00826_826_model::dropout=0,model::init_type=normal,model::nlin=gelu,optim::optimizer=sgd,optim::wd=0.01,se_2021-09-24_03-57-09",0.183,0.1401,0.1847,0.1556
14,"NN_tune_trainable_143c9_00428_428_model::dropout=0,model::init_type=kaiming_uniform,model::nlin=relu,optim::optimizer=sgd,optim::w_2021-09-23_07-08-05",0.609,0.2867,0.6628,0.2835
