,name,normal_acc,normal_acc_attack,soup_acc,soup_acc_attack
0,"NN_tune_trainable_c7016_01175_1175_model::dropout=0.5,model::init_type=kaiming_normal,model::nlin=sigmoid,optim::optimizer=adam,op_2021-09-24_09-51-51",0.1,0.1,0.1,0.1
1,"NN_tune_trainable_c7016_00864_864_model::dropout=0,model::init_type=uniform,model::nlin=tanh,optim::optimizer=sgd,optim::wd=0.001,_2021-09-23_18-16-26",0.433,0.214,0.4279,0.2095
2,"NN_tune_trainable_c7016_00271_271_model::dropout=0.5,model::init_type=kaiming_normal,model::nlin=relu,optim::optimizer=adam,optim:_2021-09-22_10-47-42",0.236,0.1878,0.2433,0.1923
3,"NN_tune_trainable_c7016_00598_598_model::dropout=0,model::init_type=kaiming_normal,model::nlin=sigmoid,optim::optimizer=adam,optim_2021-09-23_04-52-30",0.577,0.2506,0.6131,0.2696
4,"NN_tune_trainable_c7016_01193_1193_model::dropout=0.5,model::init_type=uniform,model::nlin=relu,optim::optimizer=sgd,optim::wd=0.0_2021-09-24_11-12-15",0.1,0.1,0.1,0.1
5,"NN_tune_trainable_c7016_00956_956_model::dropout=0,model::init_type=kaiming_uniform,model::nlin=gelu,optim::optimizer=sgd,optim::w_2021-09-23_22-48-32",0.604,0.2706,0.6483,0.2766
6,"NN_tune_trainable_c7016_00394_394_model::dropout=0,model::init_type=normal,model::nlin=relu,optim::optimizer=adam,optim::wd=0.01,s_2021-09-22_17-33-06",0.568,0.2331,0.6021,0.2435
7,"NN_tune_trainable_c7016_00073_73_model::dropout=0.5,model::init_type=uniform,model::nlin=relu,optim::optimizer=adam,optim::wd=0.00_2021-09-22_00-40-05",0.447,0.1478,0.4197,0.1659
8,"NN_tune_trainable_c7016_01123_1123_model::dropout=0.5,model::init_type=normal,model::nlin=tanh,optim::optimizer=sgd,optim::wd=0.00_2021-09-24_07-14-12",0.389,0.1633,0.3815,0.1689
9,"NN_tune_trainable_c7016_00311_311_model::dropout=0.5,model::init_type=kaiming_normal,model::nlin=sigmoid,optim::optimizer=sgd,opti_2021-09-22_13-17-32",0.1,0.1,0.1,0.1
10,"NN_tune_trainable_c7016_00677_677_model::dropout=0.5,model::init_type=kaiming_uniform,model::nlin=tanh,optim::optimizer=sgd,optim:_2021-09-23_09-08-33",0.449,0.158,0.4651,0.1642
11,"NN_tune_trainable_c7016_00863_863_model::dropout=0.5,model::init_type=kaiming_normal,model::nlin=gelu,optim::optimizer=adam,optim:_2021-09-23_18-15-01",0.509,0.2029,0.4734,0.2063
12,"NN_tune_trainable_c7016_00638_638_model::dropout=0,model::init_type=kaiming_normal,model::nlin=gelu,optim::optimizer=sgd,optim::wd_2021-09-23_06-32-52",0.676,0.2387,0.7052,0.2551
13,"NN_tune_trainable_c7016_00405_405_model::dropout=0.5,model::init_type=kaiming_uniform,model::nlin=sigmoid,optim::optimizer=adam,op_2021-09-22_18-22-34",0.1,0.1,0.1,0.1
14,"NN_tune_trainable_c7016_00544_544_model::dropout=0,model::init_type=uniform,model::nlin=tanh,optim::optimizer=sgd,optim::wd=0.01,s_2021-09-23_02-06-55",0.602,0.2608,0.6187,0.2713
15,"NN_tune_trainable_c7016_01177_1177_model::dropout=0.5,model::init_type=uniform,model::nlin=gelu,optim::optimizer=adam,optim::wd=0._2021-09-24_09-56-28",0.1,0.1,0.1,0.1
16,"NN_tune_trainable_c7016_01010_1010_model::dropout=0,model::init_type=normal,model::nlin=sigmoid,optim::optimizer=sgd,optim::wd=0.0_2021-09-24_01-20-45",0.531,0.229,0.555,0.2234
17,"NN_tune_trainable_c7016_00110_110_model::dropout=0,model::init_type=kaiming_normal,model::nlin=relu,optim::optimizer=sgd,optim::wd_2021-09-22_02-46-20",0.678,0.2877,0.7038,0.3035
18,"NN_tune_trainable_c7016_00370_370_model::dropout=0,model::init_type=normal,model::nlin=sigmoid,optim::optimizer=sgd,optim::wd=0.00_2021-09-22_16-26-14",0.501,0.2156,0.5299,0.2124
19,"NN_tune_trainable_c7016_00337_337_model::dropout=0.5,model::init_type=uniform,model::nlin=sigmoid,optim::optimizer=adam,optim::wd=_2021-09-22_14-39-05",0.1,0.1,0.1,0.1
20,"NN_tune_trainable_c7016_00697_697_model::dropout=0.5,model::init_type=uniform,model::nlin=gelu,optim::optimizer=sgd,optim::wd=0.01_2021-09-23_09-52-36",0.1,0.1,0.1,0.1
21,"NN_tune_trainable_c7016_00865_865_model::dropout=0.5,model::init_type=uniform,model::nlin=tanh,optim::optimizer=sgd,optim::wd=0.00_2021-09-23_18-21-34",0.323,0.1583,0.2982,0.1628
22,"NN_tune_trainable_c7016_00443_443_model::dropout=0.5,model::init_type=normal,model::nlin=gelu,optim::optimizer=sgd,optim::wd=0.01,_2021-09-22_20-32-57",0.1,0.1,0.1,0.1
23,"NN_tune_trainable_c7016_01072_1072_model::dropout=0,model::init_type=uniform,model::nlin=sigmoid,optim::optimizer=sgd,optim::wd=0._2021-09-24_04-50-11",0.1,0.1,0.1,0.1
24,"NN_tune_trainable_c7016_00782_782_model::dropout=0,model::init_type=kaiming_normal,model::nlin=relu,optim::optimizer=adam,optim::w_2021-09-23_14-04-24",0.592,0.2694,0.6309,0.2827
25,"NN_tune_trainable_c7016_00868_868_model::dropout=0,model::init_type=kaiming_uniform,model::nlin=tanh,optim::optimizer=sgd,optim::w_2021-09-23_18-35-10",0.653,0.2855,0.6774,0.2861
26,"NN_tune_trainable_c7016_01260_1260_model::dropout=0,model::init_type=kaiming_uniform,model::nlin=relu,optim::optimizer=sgd,optim::_2021-09-24_14-42-18",0.673,0.2441,0.7034,0.2953
27,"NN_tune_trainable_c7016_00849_849_model::dropout=0.5,model::init_type=uniform,model::nlin=sigmoid,optim::optimizer=adam,optim::wd=_2021-09-23_17-37-45",0.1,0.1,0.1,0.1
28,"NN_tune_trainable_c7016_00642_642_model::dropout=0,model::init_type=normal,model::nlin=tanh,optim::optimizer=adam,optim::wd=0.01,s_2021-09-23_06-42-15",0.591,0.2524,0.6243,0.2609
29,"NN_tune_trainable_c7016_00059_59_model::dropout=0.5,model::init_type=normal,model::nlin=gelu,optim::optimizer=sgd,optim::wd=0.01,s_2021-09-21_23-58-52",0.1,0.1,0.1,0.1
30,"NN_tune_trainable_c7016_00872_872_model::dropout=0,model::init_type=uniform,model::nlin=relu,optim::optimizer=sgd,optim::wd=0.001,_2021-09-23_18-48-38",0.1,0.1,0.1,0.1
31,"NN_tune_trainable_c7016_00323_323_model::dropout=0.5,model::init_type=normal,model::nlin=tanh,optim::optimizer=adam,optim::wd=0.00_2021-09-22_13-55-04",0.473,0.1851,0.4434,0.1818
32,"NN_tune_trainable_c7016_00930_930_model::dropout=0,model::init_type=normal,model::nlin=tanh,optim::optimizer=sgd,optim::wd=0.01,se_2021-09-23_21-39-16",0.615,0.2674,0.6374,0.2793
33,"NN_tune_trainable_c7016_00492_492_model::dropout=0,model::init_type=kaiming_uniform,model::nlin=relu,optim::optimizer=sgd,optim::w_2021-09-22_23-16-08",0.675,0.2936,0.6996,0.3129
34,"NN_tune_trainable_c7016_00350_350_model::dropout=0,model::init_type=kaiming_normal,model::nlin=gelu,optim::optimizer=adam,optim::w_2021-09-22_15-25-28",0.682,0.2599,0.7061,0.2832
35,"NN_tune_trainable_c7016_01218_1218_model::dropout=0,model::init_type=normal,model::nlin=tanh,optim::optimizer=adam,optim::wd=0.001_2021-09-24_12-14-40",0.641,0.2207,0.6726,0.2426
36,"NN_tune_trainable_c7016_01259_1259_model::dropout=0.5,model::init_type=normal,model::nlin=relu,optim::optimizer=sgd,optim::wd=0.00_2021-09-24_14-41-14",0.1,0.1,0.1,0.1
37,"NN_tune_trainable_c7016_00894_894_model::dropout=0,model::init_type=kaiming_normal,model::nlin=gelu,optim::optimizer=sgd,optim::wd_2021-09-23_19-31-53",0.673,0.2602,0.6916,0.2708
38,"NN_tune_trainable_c7016_00426_426_model::dropout=0,model::init_type=normal,model::nlin=relu,optim::optimizer=sgd,optim::wd=0.01,se_2021-09-22_19-45-47",0.1,0.1,0.1,0.1
39,"NN_tune_trainable_c7016_00290_290_model::dropout=0,model::init_type=normal,model::nlin=tanh,optim::optimizer=sgd,optim::wd=0.01,se_2021-09-22_12-22-04",0.611,0.2558,0.6376,0.2672
40,"NN_tune_trainable_c7016_00508_508_model::dropout=0,model::init_type=kaiming_uniform,model::nlin=gelu,optim::optimizer=sgd,optim::w_2021-09-22_23-55-41",0.673,0.2755,0.6984,0.2834
41,"NN_tune_trainable_c7016_01227_1227_model::dropout=0.5,model::init_type=normal,model::nlin=relu,optim::optimizer=adam,optim::wd=0.0_2021-09-24_12-48-53",0.473,0.1915,0.4713,0.1881
42,"NN_tune_trainable_c7016_01214_1214_model::dropout=0,model::init_type=kaiming_normal,model::nlin=gelu,optim::optimizer=sgd,optim::w_2021-09-24_12-01-15",0.618,0.2803,0.6476,0.286
43,"NN_tune_trainable_c7016_01242_1242_model::dropout=0,model::init_type=normal,model::nlin=gelu,optim::optimizer=adam,optim::wd=0.001_2021-09-24_13-46-51",0.663,0.2421,0.6805,0.271
44,"NN_tune_trainable_c7016_01261_1261_model::dropout=0.5,model::init_type=kaiming_uniform,model::nlin=relu,optim::optimizer=sgd,optim_2021-09-24_14-45-13",0.406,0.1383,0.4011,0.1516
45,"NN_tune_trainable_c7016_00949_949_model::dropout=0.5,model::init_type=kaiming_uniform,model::nlin=sigmoid,optim::optimizer=sgd,opt_2021-09-23_22-24-51",0.1,0.1,0.1,0.1
46,"NN_tune_trainable_c7016_00886_886_model::dropout=0,model::init_type=kaiming_normal,model::nlin=sigmoid,optim::optimizer=sgd,optim:_2021-09-23_19-20-16",0.483,0.1979,0.5003,0.2006
47,"NN_tune_trainable_c7016_00727_727_model::dropout=0.5,model::init_type=kaiming_normal,model::nlin=sigmoid,optim::optimizer=adam,opt_2021-09-23_11-35-54",0.1,0.1,0.1,0.1
48,"NN_tune_trainable_c7016_00438_438_model::dropout=0,model::init_type=kaiming_normal,model::nlin=sigmoid,optim::optimizer=sgd,optim:_2021-09-22_20-23-35",0.1,0.1,0.1,0.1
49,"NN_tune_trainable_c7016_00393_393_model::dropout=0.5,model::init_type=uniform,model::nlin=relu,optim::optimizer=adam,optim::wd=0.0_2021-09-22_17-20-34",0.1,0.1,0.1,0.1
50,"NN_tune_trainable_c7016_00342_342_model::dropout=0,model::init_type=kaiming_normal,model::nlin=sigmoid,optim::optimizer=adam,optim_2021-09-22_15-07-06",0.568,0.2641,0.6067,0.2679
51,"NN_tune_trainable_c7016_01195_1195_model::dropout=0.5,model::init_type=normal,model::nlin=relu,optim::optimizer=sgd,optim::wd=0.01_2021-09-24_11-16-34",0.1,0.1,0.1,0.1
52,"NN_tune_trainable_c7016_01142_1142_model::dropout=0,model::init_type=kaiming_normal,model::nlin=sigmoid,optim::optimizer=sgd,optim_2021-09-24_07-57-05",0.467,0.1909,0.4809,0.1931
53,"NN_tune_trainable_c7016_00520_520_model::dropout=0,model::init_type=uniform,model::nlin=relu,optim::optimizer=adam,optim::wd=0.01,_2021-09-23_00-31-03",0.565,0.2243,0.5952,0.2421
54,"NN_tune_trainable_c7016_00866_866_model::dropout=0,model::init_type=normal,model::nlin=tanh,optim::optimizer=sgd,optim::wd=0.001,s_2021-09-23_18-30-31",0.553,0.2118,0.5911,0.2304
55,"NN_tune_trainable_c7016_00632_632_model::dropout=0,model::init_type=uniform,model::nlin=gelu,optim::optimizer=sgd,optim::wd=0.001,_2021-09-23_06-18-48",0.1,0.1,0.1,0.1
56,"NN_tune_trainable_c7016_01074_1074_model::dropout=0,model::init_type=normal,model::nlin=sigmoid,optim::optimizer=sgd,optim::wd=0.0_2021-09-24_04-54-09",0.196,0.1467,0.2004,0.1222
57,"NN_tune_trainable_c7016_00676_676_model::dropout=0,model::init_type=kaiming_uniform,model::nlin=tanh,optim::optimizer=sgd,optim::w_2021-09-23_08-58-43",0.608,0.2637,0.6384,0.2822
