,name,normal_acc,normal_acc_attack,soup_acc,soup_acc_attack
0,NN_tune_trainable_da045_00620_620_seed=621_2021-09-27_01-36-19,0.585,0.2493,0.6004,0.2456
1,NN_tune_trainable_da045_00951_951_seed=952_2021-09-27_16-47-46,0.603,0.2507,0.6155,0.2512
2,NN_tune_trainable_da045_00436_436_seed=437_2021-09-26_14-42-16,0.589,0.2533,0.6071,0.2541
3,NN_tune_trainable_da045_00819_819_seed=820_2021-09-27_10-32-41,0.6,0.2569,0.6126,0.2546
4,NN_tune_trainable_da045_00745_745_seed=746_2021-09-27_07-16-00,0.602,0.2476,0.6221,0.2575
5,NN_tune_trainable_da045_00545_545_seed=546_2021-09-26_21-23-27,0.593,0.2615,0.6128,0.2661
6,NN_tune_trainable_da045_00555_555_seed=556_2021-09-26_22-07-44,0.594,0.2684,0.6133,0.267
7,NN_tune_trainable_da045_00296_296_seed=297_2021-09-26_05-53-31,0.606,0.2608,0.6264,0.2595
8,NN_tune_trainable_da045_00783_783_seed=784_2021-09-27_08-54-35,0.597,0.2489,0.6095,0.2525
9,NN_tune_trainable_da045_00475_475_seed=476_2021-09-26_16-58-05,0.599,0.2565,0.6186,0.2576
10,NN_tune_trainable_da045_00136_136_seed=137_2021-09-25_20-23-10,0.607,0.247,0.6212,0.2476
11,NN_tune_trainable_da045_00338_338_seed=339_2021-09-26_08-45-48,0.602,0.2474,0.6173,0.2457
12,NN_tune_trainable_da045_00552_552_seed=553_2021-09-26_22-02-41,0.592,0.2507,0.6128,0.2505
13,NN_tune_trainable_da045_00433_433_seed=434_2021-09-26_14-40-04,0.603,0.2474,0.6163,0.2473
14,NN_tune_trainable_da045_00782_782_seed=783_2021-09-27_08-51-13,0.6,0.2511,0.6141,0.2575
15,NN_tune_trainable_da045_00503_503_seed=504_2021-09-26_18-27-47,0.604,0.2704,0.6203,0.2621
16,NN_tune_trainable_da045_00803_803_seed=804_2021-09-27_09-33-00,0.604,0.2496,0.6184,0.2537
17,NN_tune_trainable_da045_00043_43_seed=44_2021-09-25_14-05-22,0.61,0.2565,0.6231,0.2541
18,NN_tune_trainable_da045_00751_751_seed=752_2021-09-27_07-21-11,0.605,0.2504,0.627,0.2523
19,NN_tune_trainable_da045_00607_607_seed=608_2021-09-27_01-02-46,0.588,0.2479,0.6039,0.2454
20,NN_tune_trainable_da045_00035_35_seed=36_2021-09-25_13-19-12,0.605,0.2357,0.6244,0.2361
21,NN_tune_trainable_da045_00536_536_seed=537_2021-09-26_20-40-38,0.603,0.248,0.6222,0.2501
22,NN_tune_trainable_da045_00156_156_seed=157_2021-09-25_21-08-48,0.597,0.2462,0.6172,0.243
23,NN_tune_trainable_da045_00056_56_seed=57_2021-09-25_14-53-07,0.604,0.251,0.6173,0.2532
24,NN_tune_trainable_da045_00621_621_seed=622_2021-09-27_01-36-45,0.581,0.237,0.6017,0.2387
25,NN_tune_trainable_da045_00690_690_seed=691_2021-09-27_04-44-10,0.603,0.2541,0.6274,0.2526
26,NN_tune_trainable_da045_00258_258_seed=259_2021-09-26_03-40-56,0.587,0.2468,0.6028,0.2454
27,NN_tune_trainable_da045_00949_949_seed=950_2021-09-27_16-44-53,0.584,0.2411,0.6038,0.2394
28,NN_tune_trainable_da045_00719_719_seed=720_2021-09-27_05-49-21,0.604,0.2288,0.6209,0.2324
29,NN_tune_trainable_da045_00720_720_seed=721_2021-09-27_06-12-12,0.608,0.2438,0.6295,0.2444
30,NN_tune_trainable_da045_00320_320_seed=321_2021-09-26_07-21-40,0.612,0.2493,0.6308,0.2504
31,NN_tune_trainable_da045_00098_98_seed=99_2021-09-25_18-00-23,0.596,0.2556,0.6064,0.2507
32,NN_tune_trainable_da045_00469_469_seed=470_2021-09-26_16-52-41,0.591,0.2601,0.6101,0.2587
33,NN_tune_trainable_da045_00910_910_seed=911_2021-09-27_14-39-19,0.593,0.2498,0.6142,0.2428
34,NN_tune_trainable_da045_00686_686_seed=687_2021-09-27_04-40-21,0.593,0.2594,0.6115,0.2596
35,NN_tune_trainable_da045_00487_487_seed=488_2021-09-26_17-42-43,0.592,0.2605,0.6116,0.2564
36,NN_tune_trainable_da045_00065_65_seed=66_2021-09-25_15-39-05,0.606,0.2513,0.6205,0.2558
37,NN_tune_trainable_da045_00684_684_seed=685_2021-09-27_04-37-26,0.603,0.2532,0.6185,0.2544
38,NN_tune_trainable_da045_00456_456_seed=457_2021-09-26_16-07-14,0.604,0.2505,0.6284,0.2523
39,NN_tune_trainable_da045_00542_542_seed=543_2021-09-26_21-19-32,0.581,0.2474,0.5994,0.2448
40,NN_tune_trainable_da045_00930_930_seed=931_2021-09-27_15-39-57,0.607,0.2661,0.6239,0.2687
41,NN_tune_trainable_da045_00365_365_seed=366_2021-09-26_10-16-26,0.597,0.2651,0.6195,0.2687
42,NN_tune_trainable_da045_00062_62_seed=63_2021-09-25_15-38-31,0.605,0.2439,0.6198,0.243
43,NN_tune_trainable_da045_00973_973_seed=974_2021-09-27_17-55-18,0.594,0.2463,0.6116,0.25
44,NN_tune_trainable_da045_00087_87_seed=88_2021-09-25_17-13-04,0.6,0.2442,0.6157,0.2476
45,NN_tune_trainable_da045_00749_749_seed=750_2021-09-27_07-20-03,0.596,0.2506,0.6119,0.2533
46,NN_tune_trainable_da045_00662_662_seed=663_2021-09-27_03-37-34,0.593,0.2512,0.6128,0.2506
47,NN_tune_trainable_da045_00299_299_seed=300_2021-09-26_05-54-56,0.592,0.2668,0.6077,0.2666
48,NN_tune_trainable_da045_00088_88_seed=89_2021-09-25_17-13-49,0.601,0.2484,0.6132,0.2475
49,NN_tune_trainable_da045_00358_358_seed=359_2021-09-26_09-34-48,0.6,0.2665,0.6126,0.2624
50,NN_tune_trainable_da045_00773_773_seed=774_2021-09-27_08-22-00,0.595,0.251,0.6205,0.2499
51,NN_tune_trainable_da045_00837_837_seed=838_2021-09-27_11-12-15,0.597,0.2358,0.6169,0.2369
52,NN_tune_trainable_da045_00107_107_seed=108_2021-09-25_18-03-17,0.606,0.2399,0.6189,0.242
53,NN_tune_trainable_da045_00753_753_seed=754_2021-09-27_07-21-53,0.612,0.2598,0.6273,0.26
54,NN_tune_trainable_da045_00847_847_seed=848_2021-09-27_11-45-40,0.598,0.247,0.6136,0.2509
55,NN_tune_trainable_da045_00919_919_seed=920_2021-09-27_15-09-52,0.596,0.2571,0.6182,0.2608
56,NN_tune_trainable_da045_00899_899_seed=900_2021-09-27_14-06-12,0.591,0.2411,0.6104,0.2453
57,NN_tune_trainable_da045_00333_333_seed=334_2021-09-26_08-06-11,0.593,0.2572,0.6089,0.2525
58,NN_tune_trainable_da045_00472_472_seed=473_2021-09-26_16-55-30,0.602,0.2434,0.6199,0.2429
59,NN_tune_trainable_da045_00364_364_seed=365_2021-09-26_10-16-26,0.595,0.2629,0.6121,0.2643
60,NN_tune_trainable_da045_00516_516_seed=517_2021-09-26_19-48-48,0.606,0.2512,0.6253,0.2507
61,NN_tune_trainable_da045_00554_554_seed=555_2021-09-26_22-03-37,0.595,0.2612,0.6137,0.2626
62,NN_tune_trainable_da045_00750_750_seed=751_2021-09-27_07-20-08,0.599,0.2671,0.6209,0.2719
63,NN_tune_trainable_da045_00763_763_seed=764_2021-09-27_07-51-24,0.603,0.2451,0.616,0.2471
64,NN_tune_trainable_da045_00789_789_seed=790_2021-09-27_08-58-01,0.577,0.2463,0.5908,0.2463
65,NN_tune_trainable_da045_00874_874_seed=875_2021-09-27_12-57-09,0.587,0.2477,0.6071,0.2468
66,NN_tune_trainable_da045_00400_400_seed=401_2021-09-26_12-29-35,0.608,0.2585,0.6271,0.2531
