,name,normal_acc,normal_acc_attack,soup_acc,soup_acc_attack
0,"NN_tune_trainable_b6a12_02425_2425_model::dropout=0.5,model::init_type=uniform,model::nlin=gelu,optim::lr=0.0001,optim::optimizer=_2021-07-14_23-14-26",0.113,0.1135,0.1135,0.1135
1,"NN_tune_trainable_b6a12_00527_527_model::dropout=0.5,model::init_type=kaiming_normal,model::nlin=relu,optim::lr=0.001,optim::optim_2021-07-10_13-54-52",0.937,0.0982,0.9446,0.0982
2,"NN_tune_trainable_b6a12_01664_1664_model::dropout=0.0,model::init_type=uniform,model::nlin=tanh,optim::lr=0.001,optim::optimizer=a_2021-07-13_03-55-19",0.971,0.2584,0.9738,0.2686
3,"NN_tune_trainable_b6a12_00493_493_model::dropout=0.5,model::init_type=kaiming_uniform,model::nlin=relu,optim::lr=0.0001,optim::opt_2021-07-10_11-54-32",0.113,0.1135,0.1135,0.1135
4,"NN_tune_trainable_b6a12_00026_26_model::dropout=0.0,model::init_type=normal,model::nlin=gelu,optim::lr=0.001,optim::optimizer=adam_2021-07-09_08-17-20",0.986,0.9654,0.9879,0.9701
5,"NN_tune_trainable_b6a12_00951_951_model::dropout=0.5,model::init_type=kaiming_normal,model::nlin=sigmoid,optim::lr=0.0001,optim::o_2021-07-11_13-07-18",0.885,0.8525,0.8845,0.8542
6,"NN_tune_trainable_b6a12_01625_1625_model::dropout=0.5,model::init_type=uniform,model::nlin=gelu,optim::lr=0.001,optim::optimizer=s_2021-07-13_01-44-39",0.113,0.1135,0.1135,0.1135
7,"NN_tune_trainable_b6a12_01682_1682_model::dropout=0.0,model::init_type=normal,model::nlin=sigmoid,optim::lr=0.001,optim::optimizer_2021-07-13_04-54-03",0.982,0.5844,0.9826,0.6376
8,"NN_tune_trainable_b6a12_02143_2143_model::dropout=0.5,model::init_type=kaiming_normal,model::nlin=gelu,optim::lr=0.001,optim::opti_2021-07-14_07-42-18",0.932,0.1135,0.9345,0.1135
9,"NN_tune_trainable_b6a12_00794_794_model::dropout=0.0,model::init_type=normal,model::nlin=gelu,optim::lr=0.001,optim::optimizer=ada_2021-07-11_04-53-57",0.983,0.9334,0.9874,0.9528
10,"NN_tune_trainable_b6a12_02126_2126_model::dropout=0.0,model::init_type=kaiming_normal,model::nlin=relu,optim::lr=0.001,optim::opti_2021-07-14_06-48-35",0.984,0.9677,0.9865,0.9683
11,"NN_tune_trainable_b6a12_02406_2406_model::dropout=0.0,model::init_type=kaiming_normal,model::nlin=tanh,optim::lr=0.0001,optim::opt_2021-07-14_22-20-48",0.973,0.3558,0.9737,0.413
12,"NN_tune_trainable_b6a12_02318_2318_model::dropout=0.0,model::init_type=kaiming_normal,model::nlin=relu,optim::lr=0.001,optim::opti_2021-07-14_17-34-15",0.982,0.9393,0.9868,0.9525
