,name,normal_acc,normal_acc_attack,soup_acc,soup_acc_attack
0,"NN_tune_trainable_a17ed_00710_710_model::dropout=0.0,model::init_type=kaiming_normal,model::nlin=tanh,optim::lr=0.001,optim::optim_2021-07-06_09-58-20",0.979,0.3051,0.9824,0.3214
1,"NN_tune_trainable_a17ed_00686_686_model::dropout=0.0,model::init_type=kaiming_normal,model::nlin=relu,optim::lr=0.0001,optim::opti_2021-07-06_08-38-43",0.984,0.8454,0.9851,0.8589
2,"NN_tune_trainable_a17ed_01002_1002_model::dropout=0.0,model::init_type=normal,model::nlin=relu,optim::lr=0.0001,optim::optimizer=s_2021-07-07_02-03-07",0.113,0.1135,0.1135,0.1135
3,"NN_tune_trainable_a17ed_00775_775_model::dropout=0.5,model::init_type=kaiming_normal,model::nlin=tanh,optim::lr=0.001,optim::optim_2021-07-06_13-31-48",0.96,0.2168,0.9604,0.2025
4,"NN_tune_trainable_a17ed_01098_1098_model::dropout=0.0,model::init_type=normal,model::nlin=relu,optim::lr=0.001,optim::optimizer=sg_2021-07-07_07-19-50",0.113,0.1135,0.1135,0.1135
5,"NN_tune_trainable_a17ed_00258_258_model::dropout=0.0,model::init_type=normal,model::nlin=tanh,optim::lr=0.001,optim::optimizer=ada_2021-07-05_10-01-39",0.982,0.5899,0.9828,0.7277
6,"NN_tune_trainable_a17ed_02261_2261_model::dropout=0.5,model::init_type=kaiming_uniform,model::nlin=sigmoid,optim::lr=0.001,optim::_2021-07-10_01-09-09",0.823,0.6372,0.8184,0.6312
7,"NN_tune_trainable_a17ed_02254_2254_model::dropout=0.0,model::init_type=kaiming_normal,model::nlin=relu,optim::lr=0.001,optim::opti_2021-07-10_00-43-09",0.979,0.5632,0.9829,0.6101
8,"NN_tune_trainable_a17ed_01776_1776_model::dropout=0.0,model::init_type=uniform,model::nlin=sigmoid,optim::lr=0.0001,optim::optimiz_2021-07-08_20-34-57",0.113,0.1135,0.1135,0.1135
9,"NN_tune_trainable_a17ed_00935_935_model::dropout=0.5,model::init_type=kaiming_normal,model::nlin=tanh,optim::lr=0.0001,optim::opti_2021-07-06_22-27-13",0.955,0.3958,0.9556,0.3983
10,"NN_tune_trainable_a17ed_01775_1775_model::dropout=0.5,model::init_type=kaiming_normal,model::nlin=relu,optim::lr=0.0001,optim::opt_2021-07-08_20-32-56",0.829,0.1378,0.8307,0.1342
11,"NN_tune_trainable_a17ed_01416_1416_model::dropout=0.0,model::init_type=uniform,model::nlin=relu,optim::lr=0.001,optim::optimizer=a_2021-07-08_00-59-19",0.981,0.1135,0.9846,0.1135
12,"NN_tune_trainable_a17ed_01863_1863_model::dropout=0.5,model::init_type=kaiming_normal,model::nlin=tanh,optim::lr=0.001,optim::opti_2021-07-09_01-07-10",0.953,0.0974,0.9575,0.0992
13,"NN_tune_trainable_a17ed_00494_494_model::dropout=0.0,model::init_type=kaiming_normal,model::nlin=relu,optim::lr=0.0001,optim::opti_2021-07-05_22-35-47",0.981,0.7451,0.9808,0.7438
14,"NN_tune_trainable_a17ed_02165_2165_model::dropout=0.5,model::init_type=kaiming_uniform,model::nlin=sigmoid,optim::lr=0.0001,optim:_2021-07-09_18-56-16",0.113,0.1135,0.1135,0.1135
15,"NN_tune_trainable_a17ed_01993_1993_model::dropout=0.5,model::init_type=uniform,model::nlin=relu,optim::lr=0.001,optim::optimizer=s_2021-07-09_07-58-58",0.113,0.1135,0.1135,0.1135
16,"NN_tune_trainable_a17ed_01731_1731_model::dropout=0.5,model::init_type=normal,model::nlin=tanh,optim::lr=0.001,optim::optimizer=sg_2021-07-08_18-14-46",0.855,0.7095,0.8592,0.6727
17,"NN_tune_trainable_a17ed_01083_1083_model::dropout=0.5,model::init_type=normal,model::nlin=gelu,optim::lr=0.0001,optim::optimizer=a_2021-07-07_06-35-17",0.335,0.1457,0.2812,0.1334
18,"NN_tune_trainable_a17ed_00302_302_model::dropout=0.0,model::init_type=kaiming_normal,model::nlin=relu,optim::lr=0.0001,optim::opti_2021-07-05_12-20-20",0.982,0.9609,0.9836,0.9684
19,"NN_tune_trainable_a17ed_01585_1585_model::dropout=0.5,model::init_type=uniform,model::nlin=sigmoid,optim::lr=0.0001,optim::optimiz_2021-07-08_10-29-39",0.113,0.1135,0.1135,0.1135
20,"NN_tune_trainable_a17ed_01048_1048_model::dropout=0.0,model::init_type=uniform,model::nlin=gelu,optim::lr=0.001,optim::optimizer=a_2021-07-07_04-41-25",0.984,0.5597,0.9869,0.6021
21,"NN_tune_trainable_a17ed_02180_2180_model::dropout=0.0,model::init_type=kaiming_uniform,model::nlin=tanh,optim::lr=0.001,optim::opt_2021-07-09_19-45-08",0.979,0.3949,0.9841,0.3593
22,"NN_tune_trainable_a17ed_00432_432_model::dropout=0.0,model::init_type=uniform,model::nlin=sigmoid,optim::lr=0.0001,optim::optimize_2021-07-05_19-16-32",0.961,0.4677,0.961,0.4648
23,"NN_tune_trainable_a17ed_01617_1617_model::dropout=0.5,model::init_type=uniform,model::nlin=sigmoid,optim::lr=0.001,optim::optimize_2021-07-08_12-09-44",0.102,0.1135,0.1135,0.1135
24,"NN_tune_trainable_a17ed_01146_1146_model::dropout=0.0,model::init_type=normal,model::nlin=gelu,optim::lr=0.0001,optim::optimizer=s_2021-07-07_09-49-51",0.113,0.1133,0.1135,0.1133
25,"NN_tune_trainable_a17ed_02450_2450_model::dropout=0.0,model::init_type=normal,model::nlin=sigmoid,optim::lr=0.001,optim::optimizer_2021-07-10_13-27-34",0.977,0.5459,0.9784,0.5954
26,"NN_tune_trainable_a17ed_00750_750_model::dropout=0.0,model::init_type=kaiming_normal,model::nlin=relu,optim::lr=0.0001,optim::opti_2021-07-06_12-16-54",0.977,0.9452,0.9797,0.9322
27,"NN_tune_trainable_a17ed_00641_641_model::dropout=0.5,model::init_type=uniform,model::nlin=tanh,optim::lr=0.001,optim::optimizer=ad_2021-07-06_06-19-26",0.92,0.2856,0.9222,0.2834
28,"NN_tune_trainable_a17ed_00536_536_model::dropout=0.0,model::init_type=uniform,model::nlin=gelu,optim::lr=0.001,optim::optimizer=ad_2021-07-06_00-48-08",0.984,0.605,0.9878,0.5962
29,"NN_tune_trainable_a17ed_02144_2144_model::dropout=0.0,model::init_type=uniform,model::nlin=tanh,optim::lr=0.0001,optim::optimizer=_2021-07-09_17-47-17",0.144,0.1028,0.1461,0.101
30,"NN_tune_trainable_a17ed_00006_6_model::dropout=0.0,model::init_type=kaiming_normal,model::nlin=tanh,optim::lr=0.001,optim::optimiz_2021-07-04_21-06-04",0.981,0.5697,0.9837,0.6672
31,"NN_tune_trainable_a17ed_02530_2530_model::dropout=0.0,model::init_type=normal,model::nlin=tanh,optim::lr=0.0001,optim::optimizer=s_2021-07-10_18-34-46",0.744,0.7052,0.7399,0.6962
32,"NN_tune_trainable_a17ed_02073_2073_model::dropout=0.5,model::init_type=uniform,model::nlin=gelu,optim::lr=0.001,optim::optimizer=a_2021-07-09_13-05-48",0.957,0.1135,0.9565,0.1135
33,"NN_tune_trainable_a17ed_01779_1779_model::dropout=0.5,model::init_type=normal,model::nlin=sigmoid,optim::lr=0.0001,optim::optimize_2021-07-08_20-39-14",0.113,0.1135,0.1135,0.1135
34,"NN_tune_trainable_a17ed_02002_2002_model::dropout=0.0,model::init_type=normal,model::nlin=sigmoid,optim::lr=0.001,optim::optimizer_2021-07-09_08-22-15",0.956,0.3751,0.9575,0.3712
35,"NN_tune_trainable_a17ed_01284_1284_model::dropout=0.0,model::init_type=kaiming_uniform,model::nlin=tanh,optim::lr=0.001,optim::opt_2021-07-07_17-50-13",0.983,0.855,0.9866,0.9005
36,"NN_tune_trainable_a17ed_00513_513_model::dropout=0.5,model::init_type=uniform,model::nlin=tanh,optim::lr=0.001,optim::optimizer=ad_2021-07-05_23-33-47",0.959,0.2423,0.9606,0.2033
37,"NN_tune_trainable_a17ed_01176_1176_model::dropout=0.0,model::init_type=uniform,model::nlin=gelu,optim::lr=0.001,optim::optimizer=a_2021-07-07_11-32-02",0.982,0.1135,0.9842,0.1135
38,"NN_tune_trainable_a17ed_01109_1109_model::dropout=0.5,model::init_type=kaiming_uniform,model::nlin=sigmoid,optim::lr=0.001,optim::_2021-07-07_07-53-54",0.686,0.3421,0.6838,0.3421
39,"NN_tune_trainable_a17ed_02335_2335_model::dropout=0.5,model::init_type=kaiming_normal,model::nlin=gelu,optim::lr=0.001,optim::opti_2021-07-10_06-04-20",0.962,0.1135,0.9637,0.1135
40,"NN_tune_trainable_a17ed_02284_2284_model::dropout=0.0,model::init_type=kaiming_uniform,model::nlin=relu,optim::lr=0.0001,optim::op_2021-07-10_02-37-25",0.978,0.8835,0.979,0.8964
41,"NN_tune_trainable_a17ed_02473_2473_model::dropout=0.5,model::init_type=uniform,model::nlin=relu,optim::lr=0.0001,optim::optimizer=_2021-07-10_14-51-23",0.945,0.1135,0.9438,0.1135
42,"NN_tune_trainable_a17ed_02123_2123_model::dropout=0.5,model::init_type=normal,model::nlin=relu,optim::lr=0.001,optim::optimizer=sg_2021-07-09_16-12-05",0.113,0.1135,0.1135,0.1135
43,"NN_tune_trainable_a17ed_02448_2448_model::dropout=0.0,model::init_type=uniform,model::nlin=sigmoid,optim::lr=0.001,optim::optimize_2021-07-10_13-22-30",0.98,0.841,0.9815,0.8856
44,"NN_tune_trainable_a17ed_00067_67_model::dropout=0.5,model::init_type=normal,model::nlin=tanh,optim::lr=0.001,optim::optimizer=sgd,_2021-07-05_00-18-00",0.955,0.2047,0.9576,0.1739
45,"NN_tune_trainable_a17ed_00197_197_model::dropout=0.5,model::init_type=kaiming_uniform,model::nlin=tanh,optim::lr=0.001,optim::opti_2021-07-05_06-47-37",0.958,0.1405,0.96,0.1606
46,"NN_tune_trainable_a17ed_02078_2078_model::dropout=0.0,model::init_type=kaiming_normal,model::nlin=gelu,optim::lr=0.001,optim::opti_2021-07-09_13-21-19",0.984,0.9436,0.9901,0.9251
47,"NN_tune_trainable_a17ed_00349_349_model::dropout=0.5,model::init_type=kaiming_uniform,model::nlin=gelu,optim::lr=0.001,optim::opti_2021-07-05_14-49-04",0.931,0.1135,0.9338,0.1135
