,name,normal_acc,normal_acc_attack,soup_acc,soup_acc_attack
0,NN_tune_trainable_c0371_00859_859_seed=860_2021-07-03_11-07-51,0.908,0.8709,0.9072,0.8683
1,NN_tune_trainable_c0371_00373_373_seed=374_2021-07-02_10-51-12,0.904,0.8743,0.9061,0.8738
2,NN_tune_trainable_c0371_00214_214_seed=215_2021-07-02_03-01-30,0.914,0.5613,0.9157,0.5704
3,NN_tune_trainable_c0371_00034_34_seed=35_2021-07-01_18-29-21,0.92,0.4205,0.9235,0.422
4,NN_tune_trainable_c0371_00834_834_seed=835_2021-07-03_09-52-47,0.901,0.8913,0.9001,0.886
5,NN_tune_trainable_c0371_00315_315_seed=316_2021-07-02_08-00-43,0.893,0.7454,0.8923,0.7607
6,NN_tune_trainable_c0371_00700_700_seed=701_2021-07-03_03-10-02,0.899,0.8816,0.8964,0.8819
7,NN_tune_trainable_c0371_00812_812_seed=813_2021-07-03_08-44-54,0.929,0.2537,0.929,0.2712
8,NN_tune_trainable_c0371_00809_809_seed=810_2021-07-03_08-39-57,0.907,0.7723,0.9049,0.7764
9,NN_tune_trainable_c0371_00252_252_seed=253_2021-07-02_04-54-24,0.916,0.7556,0.9169,0.7563
10,NN_tune_trainable_c0371_00283_283_seed=284_2021-07-02_06-26-32,0.9,0.8834,0.9,0.8844
11,NN_tune_trainable_c0371_00335_335_seed=336_2021-07-02_08-51-33,0.914,0.8092,0.9136,0.8217
12,NN_tune_trainable_c0371_00442_442_seed=443_2021-07-02_14-26-37,0.904,0.6584,0.9061,0.7167
13,NN_tune_trainable_c0371_00211_211_seed=212_2021-07-02_02-59-03,0.898,0.8347,0.8974,0.8477
14,NN_tune_trainable_c0371_00592_592_seed=593_2021-07-02_21-56-11,0.903,0.8599,0.9031,0.8655
15,NN_tune_trainable_c0371_00521_521_seed=522_2021-07-02_18-25-35,0.9,0.7056,0.8985,0.7183
16,NN_tune_trainable_c0371_00304_304_seed=305_2021-07-02_07-33-01,0.897,0.8879,0.8963,0.8886
17,NN_tune_trainable_c0371_00984_984_seed=985_2021-07-03_17-24-58,0.884,0.8732,0.8855,0.8749
18,NN_tune_trainable_c0371_00590_590_seed=591_2021-07-02_21-44-29,0.922,0.2038,0.9234,0.2104
19,NN_tune_trainable_c0371_00323_323_seed=324_2021-07-02_08-24-44,0.91,0.4416,0.9083,0.4438
20,NN_tune_trainable_c0371_00320_320_seed=321_2021-07-02_08-21-02,0.89,0.8822,0.8895,0.8778
21,NN_tune_trainable_c0371_00598_598_seed=599_2021-07-02_22-07-41,0.906,0.8519,0.9053,0.8585
22,NN_tune_trainable_c0371_00212_212_seed=213_2021-07-02_02-59-42,0.913,0.6627,0.9128,0.6898
23,NN_tune_trainable_c0371_00166_166_seed=167_2021-07-02_00-42-39,0.91,0.8447,0.9098,0.8442
24,NN_tune_trainable_c0371_00968_968_seed=969_2021-07-03_16-37-26,0.916,0.511,0.9157,0.5271
25,NN_tune_trainable_c0371_00019_19_seed=20_2021-07-01_17-43-44,0.905,0.744,0.9049,0.7572
26,NN_tune_trainable_c0371_00584_584_seed=585_2021-07-02_21-31-53,0.914,0.8118,0.9143,0.8247
27,NN_tune_trainable_c0371_00918_918_seed=919_2021-07-03_13-57-17,0.915,0.8709,0.9138,0.8732
28,NN_tune_trainable_c0371_00289_289_seed=290_2021-07-02_06-48-08,0.898,0.6527,0.8974,0.6465
29,NN_tune_trainable_c0371_00656_656_seed=657_2021-07-03_01-05-49,0.893,0.6425,0.8936,0.669
30,NN_tune_trainable_c0371_00267_267_seed=268_2021-07-02_05-40-02,0.894,0.8825,0.893,0.8784
31,NN_tune_trainable_c0371_00093_93_seed=94_2021-07-01_21-10-01,0.891,0.8472,0.8914,0.8313
32,NN_tune_trainable_c0371_00275_275_seed=276_2021-07-02_06-03-31,0.898,0.8957,0.8981,0.8923
33,NN_tune_trainable_c0371_00652_652_seed=653_2021-07-03_00-47-57,0.899,0.8742,0.9,0.8725
34,NN_tune_trainable_c0371_00087_87_seed=88_2021-07-01_20-47-54,0.899,0.8937,0.8995,0.8927
35,NN_tune_trainable_c0371_00319_319_seed=320_2021-07-02_08-03-24,0.919,0.1931,0.9197,0.2109
36,NN_tune_trainable_c0371_00466_466_seed=467_2021-07-02_15-36-30,0.921,0.2925,0.9216,0.2996
37,NN_tune_trainable_c0371_00194_194_seed=195_2021-07-02_02-11-36,0.908,0.8413,0.9084,0.8553
38,NN_tune_trainable_c0371_00378_378_seed=379_2021-07-02_11-14-56,0.905,0.8713,0.9045,0.8717
39,NN_tune_trainable_c0371_00443_443_seed=444_2021-07-02_14-26-43,0.891,0.8635,0.8916,0.8619
40,NN_tune_trainable_c0371_00913_913_seed=914_2021-07-03_13-49-06,0.923,0.7173,0.9232,0.7202
41,NN_tune_trainable_c0371_00135_135_seed=136_2021-07-01_23-09-41,0.91,0.898,0.9108,0.8955
42,NN_tune_trainable_c0371_00282_282_seed=283_2021-07-02_06-26-31,0.903,0.7621,0.9028,0.758
43,NN_tune_trainable_c0371_00230_230_seed=231_2021-07-02_03-47-13,0.918,0.801,0.9181,0.7903
44,NN_tune_trainable_c0371_00908_908_seed=909_2021-07-03_13-31-30,0.909,0.3341,0.912,0.3659
45,NN_tune_trainable_c0371_00451_451_seed=452_2021-07-02_14-51-17,0.901,0.8874,0.9002,0.8875
46,NN_tune_trainable_c0371_00433_433_seed=434_2021-07-02_14-01-16,0.904,0.8678,0.906,0.8631
47,NN_tune_trainable_c0371_00677_677_seed=678_2021-07-03_01-59-53,0.908,0.5641,0.9065,0.5886
48,NN_tune_trainable_c0371_00225_225_seed=226_2021-07-02_03-43-14,0.91,0.8859,0.9096,0.8859
49,NN_tune_trainable_c0371_00402_402_seed=403_2021-07-02_12-26-57,0.914,0.8916,0.9143,0.8866
50,NN_tune_trainable_c0371_00368_368_seed=369_2021-07-02_10-45-21,0.918,0.9048,0.9176,0.9091
51,NN_tune_trainable_c0371_00964_964_seed=965_2021-07-03_16-20-05,0.904,0.8992,0.9051,0.8971
52,NN_tune_trainable_c0371_00791_791_seed=792_2021-07-03_07-45-47,0.908,0.5172,0.9082,0.528
53,NN_tune_trainable_c0371_00754_754_seed=755_2021-07-03_05-56-58,0.884,0.8608,0.8841,0.8628
54,NN_tune_trainable_c0371_00546_546_seed=547_2021-07-02_19-37-23,0.912,0.345,0.9128,0.3528
55,NN_tune_trainable_c0371_00469_469_seed=470_2021-07-02_15-39-53,0.908,0.8727,0.9073,0.8609
56,NN_tune_trainable_c0371_00781_781_seed=782_2021-07-03_07-12-27,0.922,0.2873,0.9212,0.2927
57,NN_tune_trainable_c0371_00395_395_seed=396_2021-07-02_12-04-26,0.925,0.8683,0.925,0.8726
58,NN_tune_trainable_c0371_00092_92_seed=93_2021-07-01_21-09-44,0.909,0.8048,0.9071,0.8
59,NN_tune_trainable_c0371_00164_164_seed=165_2021-07-02_00-41-30,0.912,0.894,0.9096,0.8929
60,NN_tune_trainable_c0371_00944_944_seed=945_2021-07-03_15-24-03,0.916,0.6102,0.9166,0.6093
61,NN_tune_trainable_c0371_00062_62_seed=63_2021-07-01_19-38-45,0.9,0.8756,0.8994,0.8779
62,NN_tune_trainable_c0371_00203_203_seed=204_2021-07-02_02-35-48,0.908,0.4527,0.9107,0.4787
63,NN_tune_trainable_c0371_00745_745_seed=746_2021-07-03_05-28-55,0.917,0.5656,0.9162,0.558
64,NN_tune_trainable_c0371_00684_684_seed=685_2021-07-03_02-22-50,0.91,0.4276,0.9108,0.4347
65,NN_tune_trainable_c0371_00146_146_seed=147_2021-07-01_23-51-47,0.9,0.8216,0.9044,0.8105
66,NN_tune_trainable_c0371_00121_121_seed=122_2021-07-01_22-40-38,0.914,0.5719,0.9146,0.5751
67,NN_tune_trainable_c0371_00179_179_seed=180_2021-07-02_01-25-36,0.91,0.8958,0.9099,0.8978
68,NN_tune_trainable_c0371_00489_489_seed=490_2021-07-02_16-48-03,0.919,0.8986,0.9207,0.899
69,NN_tune_trainable_c0371_00384_384_seed=385_2021-07-02_11-35-07,0.899,0.5571,0.8988,0.5757
70,NN_tune_trainable_c0371_00516_516_seed=517_2021-07-02_18-02-36,0.895,0.6366,0.8958,0.6313
71,NN_tune_trainable_c0371_00691_691_seed=692_2021-07-03_02-45-53,0.903,0.8803,0.9032,0.8821
72,NN_tune_trainable_c0371_00419_419_seed=420_2021-07-02_13-15-38,0.894,0.8567,0.8943,0.8526
73,NN_tune_trainable_c0371_00065_65_seed=66_2021-07-01_19-58-53,0.899,0.887,0.8991,0.8864
74,NN_tune_trainable_c0371_00823_823_seed=824_2021-07-03_09-22-15,0.92,0.8755,0.9193,0.8669
