,name,normal_acc,normal_acc_attack,soup_acc,soup_acc_attack
0,NN_tune_trainable_0ecbc_00414_414_seed=415_2022-08-06_03-56-44,0.921,0.2643,0.9223,0.2642
1,NN_tune_trainable_0ecbc_00977_977_seed=978_2022-08-08_01-49-49,0.925,0.2545,0.9259,0.2555
2,NN_tune_trainable_0ecbc_00214_214_seed=215_2022-08-05_10-13-32,0.922,0.2602,0.9226,0.2642
3,NN_tune_trainable_0ecbc_00594_594_seed=595_2022-08-06_18-58-04,0.92,0.2537,0.9199,0.2565
4,NN_tune_trainable_0ecbc_00444_444_seed=445_2022-08-06_06-27-26,0.92,0.2928,0.9206,0.2941
5,NN_tune_trainable_0ecbc_00232_232_seed=233_2022-08-05_11-54-39,0.919,0.2708,0.9196,0.2689
6,NN_tune_trainable_0ecbc_00737_737_seed=738_2022-08-07_06-28-37,0.924,0.2644,0.9234,0.263
7,NN_tune_trainable_0ecbc_00724_724_seed=725_2022-08-07_05-30-19,0.919,0.2702,0.9192,0.2699
8,NN_tune_trainable_0ecbc_00300_300_seed=301_2022-08-05_17-57-44,0.921,0.2506,0.9209,0.2499
9,NN_tune_trainable_0ecbc_00587_587_seed=588_2022-08-06_18-20-50,0.922,0.2764,0.9229,0.2751
10,NN_tune_trainable_0ecbc_00747_747_seed=748_2022-08-07_07-25-53,0.921,0.262,0.9224,0.2627
11,NN_tune_trainable_0ecbc_00972_972_seed=973_2022-08-08_01-27-03,0.919,0.2815,0.9191,0.2765
12,NN_tune_trainable_0ecbc_00808_808_seed=809_2022-08-07_12-14-03,0.922,0.2604,0.9231,0.2591
13,NN_tune_trainable_0ecbc_00421_421_seed=422_2022-08-06_04-28-26,0.921,0.2427,0.922,0.2414
14,NN_tune_trainable_0ecbc_00136_136_seed=137_2022-08-05_03-27-54,0.922,0.26,0.9222,0.2617
15,NN_tune_trainable_0ecbc_00980_980_seed=981_2022-08-08_02-05-44,0.92,0.2724,0.9204,0.2739
16,NN_tune_trainable_0ecbc_00731_731_seed=732_2022-08-07_06-08-42,0.921,0.2651,0.921,0.267
17,NN_tune_trainable_0ecbc_00643_643_seed=644_2022-08-06_22-59-04,0.921,0.2469,0.9233,0.2507
18,NN_tune_trainable_0ecbc_00345_345_seed=346_2022-08-05_21-57-54,0.92,0.259,0.9198,0.2567
19,NN_tune_trainable_0ecbc_00088_88_seed=89_2022-08-04_23-21-26,0.917,0.2581,0.918,0.2573
20,NN_tune_trainable_0ecbc_00269_269_seed=270_2022-08-05_15-06-53,0.921,0.2659,0.9219,0.263
21,NN_tune_trainable_0ecbc_00321_321_seed=322_2022-08-05_19-47-51,0.92,0.2733,0.9204,0.273
22,NN_tune_trainable_0ecbc_00039_39_seed=40_2022-08-04_19-02-19,0.926,0.2677,0.9263,0.271
23,NN_tune_trainable_0ecbc_00337_337_seed=338_2022-08-05_21-14-32,0.919,0.2703,0.9202,0.2724
24,NN_tune_trainable_0ecbc_00412_412_seed=413_2022-08-06_03-47-31,0.92,0.2733,0.9194,0.274
25,NN_tune_trainable_0ecbc_00824_824_seed=825_2022-08-07_13-30-53,0.921,0.2578,0.9219,0.2589
26,NN_tune_trainable_0ecbc_00822_822_seed=823_2022-08-07_13-29-37,0.917,0.2616,0.9183,0.2669
