,name,normal_acc,normal_acc_attack,soup_acc,soup_acc_attack
0,NN_tune_trainable_dbca4_00886_886_seed=887_2022-10-18_13-06-44,0.568,0.086,0.6393,0.088
1,NN_tune_trainable_dbca4_00054_54_seed=55_2022-08-23_23-48-49,0.568,0.0822,0.6424,0.0829
2,NN_tune_trainable_dbca4_00269_269_seed=270_2022-08-29_07-42-17,0.574,0.0855,0.6425,0.088
3,NN_tune_trainable_dbca4_00745_745_seed=746_2022-10-04_17-40-18,0.547,0.0951,0.6417,0.0939
4,NN_tune_trainable_dbca4_00385_385_seed=386_2022-09-01_03-21-02,0.558,0.0903,0.643,0.0935
5,NN_tune_trainable_dbca4_00292_292_seed=293_2022-08-29_21-10-48,0.567,0.0861,0.6335,0.0888
6,NN_tune_trainable_dbca4_00489_489_seed=490_2022-09-09_08-02-20,0.553,0.0907,0.642,0.0928
7,NN_tune_trainable_dbca4_00222_222_seed=223_2022-08-28_04-14-03,0.572,0.0914,0.642,0.0942
8,NN_tune_trainable_dbca4_00253_253_seed=254_2022-08-28_22-33-33,0.565,0.0822,0.6353,0.0827
9,NN_tune_trainable_dbca4_00463_463_seed=464_2022-09-06_17-08-48,0.557,0.089,0.6418,0.0891
10,NN_tune_trainable_dbca4_00793_793_seed=794_2022-10-09_13-24-18,0.555,0.0869,0.6385,0.0871
11,NN_tune_trainable_dbca4_00147_147_seed=148_2022-08-26_07-49-04,0.549,0.0839,0.6396,0.0843
12,NN_tune_trainable_dbca4_00787_787_seed=788_2022-10-08_23-00-35,0.561,0.0789,0.6427,0.083
13,NN_tune_trainable_dbca4_00940_940_seed=941_2022-10-23_22-59-23,0.559,0.0904,0.6385,0.0906
14,NN_tune_trainable_dbca4_00543_543_seed=544_2022-09-14_18-26-23,0.55,0.0848,0.6417,0.0865
15,NN_tune_trainable_dbca4_00816_816_seed=817_2022-10-11_20-40-01,0.561,0.0819,0.6408,0.0846
16,NN_tune_trainable_dbca4_00915_915_seed=916_2022-10-21_10-42-34,0.552,0.0905,0.6438,0.091
17,NN_tune_trainable_dbca4_00962_962_seed=963_2022-10-26_03-52-22,0.562,0.0888,0.636,0.0893
18,NN_tune_trainable_dbca4_00578_578_seed=579_2022-09-18_07-01-03,0.557,0.0752,0.6407,0.078
19,NN_tune_trainable_dbca4_00077_77_seed=78_2022-08-24_13-49-50,0.563,0.0886,0.6399,0.0885
20,NN_tune_trainable_dbca4_00024_24_seed=25_2022-08-23_05-17-43,0.557,0.0864,0.6389,0.0913
21,NN_tune_trainable_dbca4_00028_28_seed=29_2022-08-23_07-36-44,0.56,0.0851,0.6373,0.0885
22,NN_tune_trainable_dbca4_00622_622_seed=623_2022-09-22_17-08-39,0.564,0.0938,0.6417,0.097
23,NN_tune_trainable_dbca4_00564_564_seed=565_2022-09-16_21-10-24,0.57,0.0819,0.6446,0.085
24,NN_tune_trainable_dbca4_00861_861_seed=862_2022-10-16_08-27-26,0.556,0.0922,0.6448,0.0889
25,NN_tune_trainable_dbca4_00969_969_seed=970_2022-10-26_20-41-51,0.568,0.0904,0.6425,0.0922
26,NN_tune_trainable_dbca4_00612_612_seed=613_2022-09-21_16-58-05,0.554,0.08,0.6414,0.0823
27,NN_tune_trainable_dbca4_00403_403_seed=404_2022-09-01_13-43-06,0.554,0.084,0.6441,0.088
28,NN_tune_trainable_dbca4_00664_664_seed=665_2022-09-26_14-53-58,0.571,0.0828,0.6418,0.0866
29,NN_tune_trainable_dbca4_00039_39_seed=40_2022-08-23_14-27-30,0.559,0.0963,0.6415,0.0951
